,song,year,album,genre,artist,lyric
0,03' Adolescence,2014,2014 Forest Hills Drive (2014),Hip Hop,J. Cole,"Yeah, yeah
I grew up, a fucking screw up
Tie my shoe up, wish they was newer
Damn, need something newer
In love with the baddest girl in the city, I wish I knew her
I wish I won't so shy, I wish I was a bit more fly
I wish that I, could tell her how I really feel inside
That I'm the perfect nigga for her, but then maybe that's a lie
She like a certain type of nigga, and it's clear I'm not that guy
Ball player, star player, I'm just watchin' from the side
On the bench, cause my lack of confidence won't let me fly
I ain't grow up with my father, I ain't thinkin' 'bout that now
Fast forward four years or so from now I'll probably cry
When I realize what I missed, but as of now my eyes are dry
'Cause I'm trying to stay alive
In the city where too many niggas die
Dreamin' quiet trying to dodge a suit and tie
Who am I? Aye who am I? (Yeah)
Things change, rearrange and so do I
It ain't always for the better, dawg, I can't lie
I get high cause the lows can be so cold
I might bend a little bit but I don't fold
One time for my mind and two for yours
I got food for your thoughts to soothe your soul
If you see my tears fall just let me be
Move along, nothing to see
I always did shit the hard way
My niggas slangin' in the hallway
Burnt CD's and trees like this was Broadway
Times Square, kept the dimes there in the locker
Some Reggie Miller
With more brown hairs than Chewbacca
Whispers that he got it for the low low, sell a
Dime for a dub, them white boys ain't know no better
Besides, what's twenty dollars to a nigga like that?
He tell his pops he need some lunch and he gon' get it right back
I peep game
Got home snatched my mama keychain
Took her whip, the appeal, too ill to refrain
I hit the boulevard pull up to my nigga front do'
His mama at home, she still let em' hit the blunt though
I told her hello, and sat with my nigga and laughed
And talked about how we gon' smash all the bitches in class
I complimented how I see him out here getting his cash
And just asked, ""What a nigga gotta do to get that?
Put me on,"" he just laughed when he seen I was sure
17 years breathing his demeanor said more
He told me, ""Nigga, you know how you sound right now?
If you wasn't my man's, I would think that you a clown right now
Listen, you everything I wanna be that's why I fucks with you
So how you looking up to me when I look up to you?
You bout to go get a degree, I'ma be stuck with two choices:
Either graduate to weight or selling number two
For what? A hundred bucks or two a week?
Do you think that you would know what to do if you was me?
I got, four brothers, one mother that don't love us
If they ain't want us why the fuck they never wore rubbers?""
I felt ashamed to have ever complained about my lack of gear
And thought about how far we done came
From trailer park to a front yard with trees in the sky
Thank you mama, dry your eyes, there ain't no reason to cry
You made a genius and I, ain't gon' take it for granted
I ain't gon' settle for lesser, I ain't gon' take what they handed
Nah I'm gon' take what they owe me and show you that I can fly
And show old girl what she missing, the illest nigga alive
Aye who am I?
I never felt better"
1,1985,2018,KOD (2018),Hip Hop,J. Cole,"1985, I arrived
33 years, damn, I'm grateful I survived
We wasn't s'posed to get past 25
Jokes on you motherfucker, we alive
All these niggas popping now is young
Everybody say the music that they make is dumb
I remember I was 18
Money, pussy, parties, I was on the same thing
You gotta give a boy a chance to grow some
Everybody talkin' like they know somethin' these days
Niggas actin' woke, but they broke, umm
I respect the struggle but you all frontin' these days
Man, they barely old enough to drive
To tell them what they should do, who the fuck am I?
I heard one of 'em diss me, I'm surprised
I ain't trippin', listen good to my reply
Come here lil' man, let me talk with ya'
See if I can paint for you the larger picture
Congrats 'cause you made it out your mama's house
I hope you make enough to buy your mom a house
I see your watch icy and your whip foreign
I got some good advice, never quit tourin'
'Cause that's the way we eat here in this rap game
I'm fuckin' with your funky lil' rap name
I hear your music and I know that rap's changed
A bunch of folks would say that that's a bad thing
'Cause everything's commercial and it's pop now
Trap drums is the shit that's hot now
See, I've been on a quest for the next wave
But never mind, that was just a segue
I must say, by your songs I'm unimpressed, hey
But I love to see a Black man get paid
And plus, you havin' fun and I respect that
But have you ever thought about your impact?
These white kids love that you don't give a fuck
'Cause that's exactly what's expected when your skin black
They wanna see you dab, they wanna see you pop a pill
They wanna see you tatted from your face to your heels
And somewhere deep down, fuck it, I gotta keep it real
They wanna be black and think your song is how it feels
So when you turn up, you see them turnin' up too
You hit the next city, collect your money when it's due
You gettin' that paper, swimmin' in bitches, I don't blame you
You ain't thinkin' 'bout the people that's lookin' like me and you
True, you got better shit to do
You coulda bought a crib with all that bread that you done blew
I know you think this type of revenue is never endin'
But I wanna take a minute just to tell you that ain't true
One day, them kids that's listening gon' grow up
And get too old for that shit that made you blow up
Now your show's lookin' light 'cause they don't show up
Which unfortunately means the money slow up
Now you scramblin' and hopin' to get hot again
But you forgot you only popped 'cause you was ridin' trends
Now you old news and you goin' through regrets
'Cause you never bought that house, but you got a Benz
And a bunch of jewels and a bunch of shoes
And a bunch of fake friends, I ain't judgin' you
I'm just tellin' you what's probably gon' happen when you rappin'
'Bout the type of shit you rappin' 'bout
It's a faster route to the bottom
I wish you good luck
I'm hoping for your sake that you ain't dumb as you look
But if it's really true what people sayin'
And you call yourself playin' with my name
Then I really know you fucked, trust
I'll be around forever 'cause my skills is tip-top
To any amateur niggas that wanna get rocked
Just remember what I told you when your shit flop
In five years you gon' be on 
, nigga"
2,4 Your Eyez Only,2016,4 Your Eyez Only (2016),Hip Hop,J. Cole,"Yeah (For your eyes)
For your eyes only (For your eyes)
For your eyes only, for your eyes only
(For your eyes, for your eyes)
For your eyes only
Hey, niggas be dying on the daily
It seems my dreams faded for far too long
The consequences deadly
Can't visualize myself as nothing but a criminal
Control the block, serving up rocks and stay subliminal
'Cause young niggas is hardheaded, they letting off
Full of adrenaline, ignorant to what death can cause
Ain't no coming back, family dressed in black
Plus it's hot now, the cops outside, it's hard to flip a pack
And my daughter gotta eat, her mama be stressing me
Like I ain't the one who put them Jays on her feet
Like I ain't out in the field like that
I might be low for the moment but I will bounce back
Despite the charges, back to the wall, I fight regardless
Screaming, ""Fuck the law,"" my life is lawless
That's what you call it, ain't got to be no psychic
To see this is like the farthest thing from heaven
This is hell and I don't mean that hyperbolic
I try to find employment even if it's wiping toilets
But these felonies be making life the hardest
Resisting the temptation to run up and swipe a wallet
Or run up on your yard, snatch your daughter bike and pawn it
That's why I write this sonnet
If the pressure get too much for me to take and I break
Play this tape for my daughter and let her know my life is on it
(For your eyes) Let her know my life is on it
(For your eyes) For your eyes only
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes only-
You probably grown now so this song'll hit you
If you're hearing this, unfortunately
Means that I'm no longer with you in the physical
Not even sure if I believe in God but because you still alive
He got me praying that the spiritual is real
So I can be a part of you still, my pops was killed too
So I know how part of you feels
Maybe you hate me, maybe you miss me, maybe you spite me
Life goes in cycles, maybe you'll date a nigga just like me
I hope not-I'm tired of dope spots
And fiends that smoke rocks
I've seen far too many niggas' hopes rot
I'm writing this because me and the devil had a dance
Now I see death around the corner, 'pologizing in advance
Don't know if I ever had a chance, at a glance, I'm a failure
Addicted to pushing paraphernalia
But Daddy had dreams once, my eyes had a gleam once
Innocence disappeared by the age of eight years
My Pops shot up-drug-related-mama addicted
So Granny raised me in projects where thugs was hanging
Blood was staining the concrete
Older niggas I loved talked like they was above
Maintaining a time sheet, that slow money
Picked up the family business
By the age of thirteen, six years later was handed sentence
'Round the same time is when you came in this world
Me and your mama thinking:
""What the fuck we naming this girl?""
I told her ""Nina"", the prettiest name that I could think of
For the prettiest thing my eyes had ever seen, I was nineteen
Took me two felonies to see the trap
This crooked ass system set for me
And now I fear it's too late for me to ever be
The one that set examples that was never set for me
I'm living fast, but not fast enough
'Cause karma keeps on catching up to me
And if my past becomes the death of me
I hope you understand-
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes, do you understand me?
For your eyes, do you understand?
For your eyes only-
It's several ways I could've went out, too many to count
Was it the trigger happy crackers that the badges give clout?
Was it the young niggas, blasting frustrated
'Cause the cash running out?
Niggas don't know how to act in a drought
See, baby girl, I realized
My definition of a real nigga was skewed
My views misshaped by new mixtapes
That confirmed the shit I learned in the streets was true
That real niggas don't speak when they beef with you
They just pull up on your street, let the heat achoo
And if a real nigga hungry, he gon' eat your food
I was a fool, spent all my time ducking school, ducking cops
Ducking rules, hugging blocks that don't love you
I pray you find a nigga with goals and point of views
Much broader than the corner, if not it's gon' corner you
Into a box, where your son don't even know his pops
And the cyclical nature of doing time continues
My worst fear is one day that you come home from school
And see your father face while hearing 'bout tragedy on news
I got the strangest feeling your daddy gonna lose his life soon
And sadly if you're listening now it must mean it's true
But maybe there's a chance that it's not
And this album remains locked
In a hard drive like valuable jewels
And I can teach you this in person
Like I'm teaching you to tie your own shoes
I love you and I hope to God I don't lose you
For your eyes only
For your eyes, for your eyes only
For your eyes, for your eyes only
For your eyes, do you understand?
For your eyes only-
One day your daddy called me, told me he had a funny feeling
What he'd been dealing with lately, he wasn't telling
I tried to pick his brains, still he wasn't revealing
But I could feel the sense of panic in his voice
And it was chilling, he said:
""Jermaine, I knew you since we was children
I never asked for nothing when times was hard
I never had discussions with you begging you to help me
I dealt with the repercussions of my actions
I know you tried to steer me 'way from that shit
But that shit was in my blood, you know my life
I know your Momma, nigga; send my love
In case I never get a chance to speak again
I won't forget the weekends spent sleeping at your crib
That's the way I wished my family lived
But my granny crib was in the 'jects-""
I had to interject like:
""Nigga what you talking 'bout? Fuck is you getting at?""
He said, ""Listen, I got no time to dive into descriptions
But I've been having premonitions
Just call it visions from the other side
I got a feeling I won't see tomorrow
Like the time I'm living on is borrowed
With that said, the only thing I'm proud to say, I was a father
Write my story down and if I pass
Go play it for my daughter when she ready""
And so I'm leaving you this record for your eyes only
Don't you ever scratch or disrespect it
This perspective is a real one, another lost 'Ville son
I dedicate these words to you and all the other children
Affected by the mass incarceration in this nation
That sent your pops to prison when he needed education
Sometimes I think this segregation would've done us better
Although I know that means that I would never
Be brought into this world 'cause my daddy was so thrilled
When he found him a white girl to take back to Jonesboro
With 'lil Zach and Cole World, barely one years old
Now it's thirty years later, making sure this story's told
Girl, your daddy was a real nigga, not 'cause he was cold
Not because he was the first
To get some pussy twelve years old
Not because he used to come through
In the Caddy on some vogues
Not because he went from bagging up
Them grams to serving O's
Nah, your daddy was a real nigga, not 'cause he was hard
Not because he lived a life of crime and sat behind some bars
Not because he screamed, ""Fuck the law"", although that was true
Your daddy was a real nigga 'cause he loved you
For your eyes only"
3,A Tale of 2 Citiez,2014,2014 Forest Hills Drive (2014),Hip Hop,J. Cole,"Since a youngin' always dreamed of gettin' rich
Look at me my nigga
Fantasize about a white picket fence
With some trees my nigga
Used to want a pathfinder with some tints
That's all I need my nigga
Throw some 20's on that bitch and get it wrenched
But now I see my nigga
That the worlds a lot bigger ever since
Picked up the paper and they say my nigga Eddie caught a body, I'm convinced
Anybody is a killer, all you gotta do is push 'em to the limps
Fuck being timid in the Civic
Politicin' with the pushers and the pimps
I'm tryna write a story, can I get a glimpse?
Yeah can I get a glimpse?
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?
They robbin' niggas on the daily
Keep on blamin' nigga that ain't never had things
Guess not, last night they pulled up on my nigga at the light like
Uh, nice watch, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air
Hands in the air now, hands in the air
Small town nigga Hollywood dreams
I know that everything that glitters ain't gold
I know the shits not always good as it seems
But tell me till you get it how could you know
How could you know? How could you know?
Listen up I'm about to go and get rich
Fuck with me my nigga
We gonna slug around the Ville and hit a lick
Cop some tree my nigga
And some powder, bag it up and make it flip
You gon' see my nigga
One day we gon' graduate and cop a brick
And that's the key my nigga
Listen up I'm bout to go and get rich
Stand back and watch if you want to nigga
Me I want my pockets fat, badder bitch
Tired of seein' niggas flaunt, I wanna flaunt too nigga
Watch some rollers in the fuckin' Crown Vic
Tryna lock a nigga up, that's what they won't do nigga
Wanna know a funny thing about this shit?
Even if you let em' kill your dream it'll haunt you nigga
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?
I look around like do you wanna be another nigga, that ain't never had things?
Guess not, last night we pulled up on a nigga at the light like
Uh, nice watch, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air
Hands in the air now, hands in the air
Father forgive me for me, childish ways
I look outside and all the clouds are gray
I need your hands to take me, miles away
Your wish is my command, my command, my command, but
Before you go I've got to, warn you now
Whatever goes up surely, must come down
And you get your piece but no peace, won't be found
So why just take me man, take me man, take me man
Your wish is my command, my command, my command"
4,ATM,2018,KOD (2018),Hip Hop,J. Cole,"Life can cause you much pain
There are...
Life can cause you
Life can...
There are...
There are many ways to deal with this pain
Choose wisely
Will I fall? Will I fly?
Heal my soul
Fulfill my high
Cross my heart (Count, count count, count it)
And hope to die (Count, count count, count it)
With my slice (Count, count, count, count it)
Of Devil's pie
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
I know that it's difficult
I'm stackin' the paper it's sorta habitual
I blow the residual
And fuckin' yo bitch like its part of my ritual
Pardon the visual
But money, it give me a hard-on it's typical
I want it in physical
A million dollars, I count up in intervals
Without it I'm miserable
Don't wanna fall off so I'm all in my bag
Thankin' God like it's biblical
I know it's gon' solve every problem I have
I balled on them principles
Remember the teachers that was all on my ass
Now look all of them, pitiful
And all of a sudden I'm so good at math
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Can't take it when you die, but you can't live without it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Can't take it when you die
Uno, dos, tres
Big bills, big pills
I fell in love with big wheels and quick thrills
My niggas running tip drills, can't sit still
Don't give a fuck if it kills, it mix well
I'm only counting
Big bills, big pills
I fell in love with big wheels and quick thrills
My niggas running tip drills, can't sit still
Don't give a fuck if it kills, it mix well
I'm only counting...
Uno, dos, tres, quatro
Proceed with caution
I heard if you chase it only results in
A hole in your heart
Fuck it, I take the whole cake and I won't leave a portion
It's only an organ
Thank God mama couldn't afford the abortion
The loneliest orphan
I flipped my misfortune and grown me a fortune
My Rollie is scorchin'
Them niggas that hated is slowly endorsin'
Now Cole, he important
My niggas beside me like Tommy and Martin
We ball in your court and
Escape with your bitch like we turning your heart in
She don't need no garments
She horny from all the money we countin'
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Can't take it when you die, but you can't live without it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Count it up, count it up, count it up, count it
Can't take it when you die
Uno dos
Will I fall? Will I fly?
Heal my soul
Fulfill my high
Cross my heart
And hope to die
With my slice of Devil's pie"
5,Ain't That Some Shit (Interlude),2013,Born Sinner (2013),Hip Hop,J. Cole,"Okay I lied
Motherfucker try
Say I can't come to the hood, true lie
See I would but I'm out in Dubai
When I get back I'mma roll through that
Snatch yo bitch give yo niggas dap
The hood gon' ballistic, Cole was here and you missed it
That nigga walk like Obama man
Shake yo momma's hand and kissed it
This pimp shit, pimp shit
Cole hard, you limp dick
My flow hard no wimp shit
Put in that work no temp shit
Yo bitch wearin' that lipstick
Gave this dick a French kiss
That nigga so wack when the bitch came back
Kissed her hoping that it get him sick, ha
Ain't that some shit
Well paid for this rap and shit
Ville made it to the map and shit
Niggas move cane like Kappa shit
Ain't that some shit
For no Benz and Range and my mattresses
For fuckin' these bad little actresses
I'm bad as shit
I got that work
Say what? My flow
Say what? My bitches
Say what? You Cole
Say what? I said
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Bitch
Bounce, bounce, bounce, bounce
Bounce (bounce)
Bounce (bounce)
Bounce (bounce)
Bounce (bounce)
Flow, flow, flow, flow
Flow tight put a nigga in a headlock
Fuck hoes out of wedlock
Nigga bed rock
Red hot, so they got red dots
Pullin' that trigger nigga better be a head shot
Money long like dread locks shit
If you send shots then you bet not miss
For a couple G's, send a couple G's
Fuck copping pleas, Matlock shit (testify)
I gotta testify
Came through humble so it's best if I
Explain the noise shit, rockin' jewels shit
Got the full clip, cock and pull
Stop the bullshit watch the flow
How you gon' stop the unstoppable
Keep bitches on they toes no Dr. Scholls
It's the Roc bitch, rock and roll
I got that work
Say what? My flow
Say what? My bitches
Say what? You Cole
Say what? I said
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Say what?
Ain't that some shit
Well paid for this rap and shit
Ain't that some shit bitch
Bitch
Bounce, bounce, bounce, bounce
Bounce (bounce)
Bounce (bounce)
Bounce (bounce)
Bounce (bounce)
My nigga Syience killed this beat"
6,Apparently,2014,2014 Forest Hills Drive (2014),Hip Hop,J. Cole,"Oh right, oh
Oh why na-da-da-da
I keep my head high
I got my wings to carry me
I don't know freedom
I want my dreams to rescue me
I keep my faith strong
I ask the Lord to follow me
I've been unfaithful
I don't know why you call on me
This is my canvas
I'ma paint it how I want it baby, oh I
This is my canvas
I'ma paint it, paint it, paint it, how I want it nigga
Fuck you cause there
There is no right or wrong, only a song
I like to write alone, be in my zone
Think back to Forest Hills, no perfect home
But the only thing like home I've ever known
Until they snatched it from my mama
And foreclosed her on the loan
I'm so sorry that I left you there to deal with that alone
I was up in New York City chasing panties, getting dome
Had no clue what you was going through, how could you be so strong?
And how could I be so selfish, I know I can be so selfish
I could tell by how I treat you with my girl
Damn she so selfless, but she put up with my way
Because she loves me like you do
And though it don't always show I love her just like I love you
And I need to treat you better
Wish you could live forever, so we could spend more time together
(I love you mama)
I keep my head high
I got my wings to carry me
I don't know freedom
I want my dreams to rescue me
I keep my faith strong
I ask the Lord to follow me
I've been unfaithful
I don't know why you call on me
Apparently, you believe in me, you believe in me
Apparently, you believe in me and I thank you for it
Another day another rhyme ho
Another day another time zone
Today, I woke up feeling horny so it's only right
I got two bitches playing on my trombone
Keep up, never sure where the words would take me
Niggas eat 'em up, and regurgitate me
Shit jumped tight never slurred it lazy
Give a virgin the urge to rape me
Nigga please
Best friends really make great for enemies
My watch came niggas can't wait for one of these
I see you nigga, this ain't no Rolex, it's a AP nigga
I'm hot, dog, catch up to me nigga
Uh, couldn't resist
Aim for the stars and I shouldn't have missed
But I was riding on fumes so I stopped by the moon
Now I'm sitting on the hood of this bitch
Like thanks for the view
Waiting on thanks from a few cause without me you wouldn't exist
You know that shit gave you the blueprint don't forget
Cole is your phone on zero percent
Going off, now niggas showing off
Niggas swear they hard but they flowing soft
I'm taking off like boing on a big ass Boeing
Getting head like a coin toss, too easy
I keep my head high
I got my wings to carry me
I don't know freedom
I want my dreams to rescue me
I keep my faith strong
I ask the Lord to follow me
I've been unfaithful
I don't know why you call on me
Apparently, you believe in me, you believe in me
Apparently, you believe in me and I thank you for it"
7,BRACKETS,2018,KOD (2018),Hip Hop,J. Cole,"(Intro: Richard Pryor)
Lotta shit happens, like, being in show business
A lot of shit happens, like, like, I make a lot of money, you know
And I'm really happy about it
And I'm not bragging, I just wanna say something
I make a so--- fuck, it's ridiculous
But wait, wait a minute, wait a minute
Hey, if my father was alive today, I would go home and say
""Dad, I wanna tell you how much money I made""
You know what he'd say? You's a lying motherfucker
Joe Lewis didn't make that much money
Come in here, get your ass out the house
Coming here with that bullshit, hah
Niggas hating on me, I ain't used to that
Know a couple people wanna shoot for that
I say ""No, no, no, chill, it ain't no need for that""
Them niggas tryna blow they don't need me for that
And if it work for them, well shit, I'm cool with that
'Cause how they feel, I ain't got shit to do with that
I just sit back on cool and watch my paper stack
And trip off how much bread them crackers take from that
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
It's been a long time since I have felt this way
About something but now, but now
I'm controlling my mind, the days are warm
The nights are cold, the lost is found, I'm found
Lord knows I need something to fill this void
Lord knows I need something to fill this void
Lord knows I need something to fill this void
Lord knows I need something to fill this void
Hell yeah boy, I'm a goddamn millionaire now
Hell yeah, nigga, they can't tell me shit now, bro, hell no, fuck that
Bitch, got my first motherfuckin' million dollar check nigga
I'm goddamn lit boy, you crazy as hell
Hold up, it's my phone real quick, it's my Unc'
Uncle Sam and shit
""What's up Unc'? Yup. Hey, I told you that check was coming in, I gotchu when it came in. Goddamn, I'm a man of my word. Goddamn, I told you I'ma have it, and goddamn, I'ma have it for you. Hell, shit, damn right. Now, how much was it though? Uh huh. Huh? Half? Half nigga? You crazy, boy, you crazy. Bitch, you crazy as fuck. Bitch, bitch, you better suck half my dick!
Yeah, I pay taxes, so much taxes, shit don't make sense
Where do my dollars go? You see lately, I ain't been convinced
I guess they say my dollars supposed to build roads and schools
But my niggas barely graduate, they ain't got the tools
Maybe 'cause the tax dollars that I make sure I send
Get spent hirin' some teachers that don't look like them
And the curriculum be tricking them, them dollars I spend
Got us learning about the heroes with the whitest of skin
One thing about the men that's controlling the pen
That write history, they always seem to white-out they sins
Maybe we'll never see a black man in the White House again
I'll write a check to the IRS, my pockets get slim
Damn, do I even have a say 'bout where it's goin'?
Some older nigga told me to start votin'
I said ""Democracy is too fuckin' slow""
If I'm givin' y'all this hard-earned bread, I wanna know
Better yet, let me decide, bitch, it's 2018
Let me pick the things I'm funding from an app on my screen
Better that than letting wack congressman I've never seen
Dictate where my money go, straight into the palms of some Money-hungry company that make guns that circulate the country And then wind up in my hood, making bloody clothes
Stray bullet hit a young boy with a snotty nose
From the concrete, he was prolly rose
Now his body froze and nobody knows what to tell his mother
He did good at the white man schools unlike his brother
Who was lost in the streets all day, not using rubbers
So right now, he got two on the way
Still sleep on covers in his mama house
She can't take this shit no more, she want him out
On the morning of the funeral, just as she's walking out
Wiping tears away, grabbing her keys and sunglasses
She remember that she gotta file her taxes, damn
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)
(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)"
8,Born Sinner,2013,Born Sinner (2013),Hip Hop,J. Cole,"Spinning in circles, live my life without rehearsal
If I die today my nigga was it business? Was it personal?
Should this be my last breath I'm blessed cause it was purposeful
Never got to church to worship lord but please be merciful
You made me versatile, well-rounded like cursive
Know you chose me for a purpose, I put my soul in these verses
Born sinner, was never born to be perfect
Sucka for women licking their lips and holding these purses
Back when we ran the streets who would think we grow to be murderers
Teachers treated niggas as if they totally worthless
And violent, and hopeless
I saw but never noticed that a college point is right to be
'All you can be' posters
Rest in peace to Tiffany, I don't know if this is the realest shit I wrote
But know that the realest nigga wrote this
And signed it, and sealed it in a envelope and knew one day you would find it
And knew one day that you would come back and rewind this, singing...
I'm a born sinner
But I die better than that, swear
You were always where I needed you to be
Whether you were there or not there (I was there)
I was born sinning
But I live better than that (better tonight)
If you ain't fucking with that
I don't care (yeah, yeah, yeah)
Yeah, this music shit is a gift
But God help us make it cause this music business is a cliff
I got a life in my grip, she holding tight to my wrist
She screaming: ""Don't let me slip""
She see the tears in my eyes, I see the fear on her lips
True when I told you: ""You the only reason why I don't flip and go insane""
My roof in the pouring rain
You knew me before the fame, don't lose me the more I change
You Just grow with me, go broke you go broke with me
I smoke you gon' smoke with me
Woman's curse since birth, man lead her to the hearse
I go Bobby you go with me damn
Listen here, I'll tell you my biggest fears
You the only one who knows them
Don't you ever go expose them
This life is harder than you'll probably ever know
Emotions I hardly ever show
More for you than for me
Don't you worry yourself
I gotta do this for me
They tell me life is a test but where's a tutor for me
Pops came late I'm already stuck in my ways
Ducking calls from my mother for days
Sometimes she hate the way she raised me but she love what she raised
Can't wait to hand her these house keys with nothing to say
Except
I'm a born sinner
But I die better than that, swear
You were always where I needed you to be
Whether you were there or not there (I was there)
I was born sinning
But I live better than that (better tonight)
If you ain't fucking with that
I don't care (yeah, yeah, yeah)"
9,Breakdown,2011,Cole World: The Sideline Story (2011),Hip Hop,J. Cole,"Look, I just shed tears homie and now I ain't too proud to admit it
Just seen my father for the first time in a minute
And when I say a minute I mean years man
Damn, a whale could have swam in them tears fam
Cause as I left them I reflected on my younger days
When it was just me and my brother and my mother played
Father, cause no other man bothered
Not even my biological, it never seemed logical
But I accepted it 'cause I ain't know no better
Thought I was brighter than a Polo sweater
No pops was like Martin with no Coretta
So many things you could have told me
And saved me the trouble of lettin' my mistakes show me
I feel like you barely know me
And that's a shame cause our last name is the same
That blood type flowin' through our veins is the same
My mama left you and maybe your anger's to blame
But that's no excuse, only you and God know the truth
And why you only call monthly, barely ever saw me
Spend some summers with you and played with my cousin Maury
Maybe I should be tellin' you fuck you cause you selfish
But I want a father so bad, I can't help it
I break down, I break down
Can't help but break down
I break down
I never thought I'd see my mama on that shit man
It's fuckin' with her body, now she sick damn
I wanted a big house with a white picket fence and a pool
Who would have ever thought that it would come to this, man?
Quicksand is what this life feel like
That shit these rappers kick is nothin' like real life
You made a milli off of servin' hard white, yeah right
My mama tell you what addicted to that pipe feel like
Stupid niggas, I heard the cops be shootin' niggas
I swear to God, wish I could bullet proof my niggas
Can't get no jobs, but they still recruitin' niggas
We tryna stand tall when it gets to crucial niggas
Break down! We break down, we break down, we break down...
Servin' time, locked down
And she don't want nobody to know, his daughter 25 pounds
By the time he get out, she gon' be 4
Now will his girl stay down?
Ain't no doubt, she love him yeah that's fo sho
But temptation stays round
And if she strayed, how could he ever know?
Never know and so, she goes to the club on the weekend
A little freakin', but them niggas holla
But she never speakin', but tonight I see the devil creepin'
'Cause she been lonely, she ain't felt a man in 7 seasons
Damn! She do the best that she can
Her mama tellin' her to find another man
She college educated with a felon boyfriend
That's what she thinkin' tonight
Maybe she's right, but please
Stay down mama! Gotta be strong, don't break down mama!
Please... stay down mama! Gotta be strong, don't break down mama!
Don't break down, don't break down, don't break down, don't break down...
Break, break down
Steady break me down
(Repeat)"
