,song,year,album,genre,artist,lyric
0,A Ha,2006,True Magic (2006),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Hey hey, ha ha say what say what
Ha ha bust it yo
Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, is beautiful Brooklyn
Long as I live here believe I'm on fire hey
'Cause it's the B-the-R-the-O-the-O-K
L-Y-N is the place where I stay
The B-the-R-the-O-the-O-K
Best in the world and all USA
It's the B-to-the-R-the-O-the-O-K
L-Y-N is the place where I stay
The B-to-the-R-the-O-the-O-K
Place where I rest is on my born day
Bust it, sometimes I sit back and just reflect
Watch the world go by and my thought connect
I think about the time past and the time to come
Reminesce on Bed-Stuy when I was pride and young
I used to try and come, to the neighborhood function
Throw on my Izod, say a little something
When I was just a youngin, before the days of thuggin'
How me and Charlie Chims (aiyyo what?) I'm only buggin
Fast forward, Nine-Now I gotta team my seed
I must proceed at God's speed to perform my deed
Livin' the now space and time, round the nine to five
For as long as I'm alive, paw I got to strive
I ain't sittin' roadside, that ain't harder to plan
I'm out here for my fam doin' all that I can
I love my city, sweet and gritty in land to outskirts
Nickname Bucktown 'cause we grown to outburst
Philosophy redefine us, touch mines I touch back
Walk the streets like a sweet and get beat like drum tracks
Catch no shakes over jakes (boomp-boomp!) we bust back
Bring the marty to your face wit no place to run back
I'm from the slums that created the bass that thump back
This ain't a game clown, play ya James Brown and jump back
What you want, Jack? Young cats stash they jums at
Draw they guns back, momma screams where she sons at
Tryin' to hunt that, recurring dream of high stakes
The fourth largest, first artist, Brooklyn is the place
Settled by the judge many years ago
Three billion strong and here we go
Good morninnnnnnnnngg vietnam!
Ha (back up back up back up back up back up) [repeated in background]
Yo sometimes I sit back, reflect on the place that I live at
Unlike any place I ever been at
The home of big gats, deep dish hammer rim caps
Have a mishap, push ya wig back
Where you go to get the fresh trim at
Four on the jake got the Timb rack
Blue collars metro carding it
Thugs mobbin it, form partnership
Increase armorment, street pharmacist
Deep consequence, when you seek sleek ornaments
You get caught, rode the white horse and can't get off
Big dogs that trick off just get sent off
They shoebox stash is all they seeds gotta live off
It's real yo but still yo, it's love here
And it's felt by anybody that come here
Out of towners take the train, plane and bus here
Must be something that they really want here
One year as a resident, deeper sentiment
Shoutout ""Go Brooklyn!"", they representin it
Sittin' on they front stoop sippin Guinesses
Usin' native dialect in they sentences
From the treeline blocks to the tenaments
To the Mom and Pop local shop menaces
Travel all around the world in great distances
And ain't a place that I know that bear resemblance
That's why we it The Planet
Not a borough or a prov, it's our style that's uncalm
From ?sun? to the ? to the Lafayette Gardens
White ?coff guawinas? in they army jacket linings
Yo this goes out to my cats in Coney Isle
Friday night out in front The Himalaya goin' wild
This goes out to Crown Heights and Smurv Village
The nighties, and all my ?yarda trenny? Brown's Village
Parkside tennants caught, thirties, forties, and the fifties
The cats out in Starite City gettin' busy
To the Hook, to the East, to the Stuy
Bushwick and Kanarcy, Farraget, Fullgreen, and Marcy
My Flatbush posse, generals of armies
When it's time to form, just call me
And let this song be, playin' loud in Long B
If you love Bucktown STRONGLY!
Raise it up!
Brooklyn my habitat, the place where it happen at
Live sway and the sharp balance of the battle axe
Irons is brandished at, thugs draw they hammer back
It's where you find the news tool crew cameras at
It's where my fam is at, summertime jame is at
They play Big and get you open like a sandal back
Hotter than candle wax, hustlin you can't relax
The crack babies tryin' to find where they mama's at
It's off the handle black, wit big police scandals that
Turn into actions screenplays sold to Miramax
The type of place where they check your appearance at
And cats who know where all the hot 'lo gear is at
The stompin grounds, where you find a pound, smoke is that
Be blazin' charm that have your wave cap floatin back
The doorstep where the disposessed posted at
Dope fiends out at Franklin Ave sellin zovarax
You big ballin better keep your money folded back
'Cause once the young guns notice that it's over, black
Brooklyn keep on takin' it, worldwide we known for that
Flossy cats get it snatched like the local tax
The place I sharpen up my baritone vocals at
Where one of the greatest MC's was a local cat"
1,Auditorium,2009,The Ecstatic (2009),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Peace, peace, peace, peace, peace, peace, power
Mad Liberator, Def Operator
Rock the data, amazing flavor
Yo, the way I feel, sometime it's too hard to sit still
Things are so passionate, times are so real
Sometimes I try to chill, mellow down, blowin' smoke
Smile on my face but it's really no joke
You feel it in the street, the people breathe without hope
They going through the motion, they dimming down the focus
Their focus get cleared, then their light turn sharp
And the eyes grow teary, the mind grow weary
I speak it so clearly, sometimes y'all don't hear me
I push it past the bass, no nations got to feel me
I feel it in my bones, black, I'm so wide awake
That I'm hardly ever asleep, my flow forever deep
And it's volumes or scriptures when I breathe on the beat
My presence speak volumes, before I say a word
I'm everywhere penthouse, pavement, and curb
Cradle to the grave, tall cathedral of a shell
Universal, ghetto life, holla black, you know it well
Quiet storm, vital form, pen pushed it right across
Mind is a vital force, high level right across
Shoulders, the lions raw voice is the siren
I swing round, ring out, and bring down the tyrant
Shocked a small act, could knock a giant lopsided
The world is so dangerous, there's no need for fighting
Suttins trying to hide, like the struggle won't find him
And the sun bust through the clouds, to clearly remind him
He's everywhere: penthouse, pavement, and curb
Cradle to the grave, tall cathedral of a shell
Universal, ghetto life, holla black, you know it well
What it is
You know, they know
What it is
We know, y'all know
What it is
Ecstatic, there it is
Huh, what it is
You know, we know
What it is
They know, y'all know
What it is
You don't know?
Here it is
What it is
You know, we know
What it is
They know, y'all know
What it is
You don't know?
Here it is
Peace, power, fantastic, original
And always on time, and rocking your mind, it's like
Sit and come relax, riddle of the Mack
It's the patch, I'm a soldier in the middle of Iraq
Well say about noonish, coming out the whip
And lookin' at me curious, a young Iraqi kid (Awww)
Carrying laundry, what's wrong G? Hungry?
No, give me my oil, get fuck out my country
In an Arabian market, other stuff
Till his moms come grab him, and they walk off in a rush
Distrust, bitter like I's pissed off on moon
I'm like ""Shorty, hope that we can fix our differences soon! Bye!""
Buying apples, I'm breaking 'em
Brooklyn take everything, why not just take the damn food Black bastard
I don't understand it, on another planet?
15 months of this stuff, how I'm gonna manage?
And increasing the sentiment, gentlemen
Getting down on their Middle-Eastern instruments
Realized trapped in this crap
Walk over, kicked one of my fabulous raps (La-dee Da-dee)
Arab jaws dropped, they well wished, they glad wrapped
Now the kid considered like an Elvis of Baghdad
What it is
What it is
What it is
You know, they know
What it is
We know, y'all know
What it is
Ecstatic, there it is
Huh, what it is
You know, we know
What it is
They know, y'all know
What it is
You don't know?
Here it is
What it is
You know, we know
What it is
They know, y'all know
What it is
You don't know?
Here it is"
2,Bedstuy Parade & Funeral March,2004,The New Danger (2004),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Turn the drums up
Turn my vocals, too
I hear myself a lil more
Yeah
More
More
More
More
More
More
More
Moto
Moto
Moto
Moto
Moto
Moto
Moto
Moto
Moto
Nice
Nice
Nice
Nice
Nice
Moto moto still
Moto moto still
Moto moto still
Yeah
Yeah
Yeah
Nice
Nice
Nice
Nice
Nice
Nice
Nice
Good
Uh huh
You waited up a lil bit for me
Yeah
Yeah
Yeah
Bedstuy Parade and Funeral March
For fighters and lovers
How
How
How
How
How
How
How
How
How
How
How
I can't stand you
I just love you
I got somethin' to give you but
I don't want to
The one I wanna be close to but
I can't touch you
'Cause I can see you
But I can't see good 'cause
You keep me crying
Oohoooo oohoooo oohoooo oohoooo oohoooo
My gangsta woman
Sweet gangsta woman
Pretty gangsta woman
Little killa woman
Sweet gangasta woman
Pretty killa woman
Sweet gangsta woman
Gangsta
Haha
How
How
How
How
How
How
How
How
How
How
Gangsta
Gangsta
Gangsta
Gangsta
Gangsta
Gangsta"
3,Blue Black Jack,2004,The New Danger (2004),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Boogie man, boogie man
Boogie man, boogie man
Music
Black Jack was a fighting man
Black Jack was a mighty man
You stand 'em up, he knock 'em out
Yeah, yeah, that's the real
You stand 'em up, he knock 'em down
Yeah, yeah, that's the deal
Now sing them high, hey, hey, hey, hey
Up in the sky, whoa oh wooo
Break it down low, whoa whoa
Break it off slow, whoa whoa
Then shout it out
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Black Jack was a fighting man
Black Jack was a mighty man
You stand 'em up, he knock 'em out
Yeah, yeah, that's the real
You stand 'em up, he knock 'em down
Yeah, yeah, that's the deal
Now sing 'em high, hey, hey, hey, hey
Up in the sky, whoa oh wooo
Break it down low, whoa whoa
Break it off slow, whoa whoa
Then shout it out
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Who dat boogie man?
There dat boogie man 
Tackidy Tackidy Tap Tap Tap 
Holdin' bread in hand 
Go 'head work that band 
Go 'head work it say 
Talkin' the talk, yeah, walkin' the walk 
Is what daddy do, they say 
Wear them pretty clothes 
Drive them pretty cars 
You a superhero 
You a superstar 
You a superman 
Go 'head, fly yo cape 
Blowin' in the wind 
Let 'em touch the hand 
Stand and fight and win 
Snatch the crown again 
Wit' yo mighty swing 
And yo flashy smile 
Let them see the light 
You so black and bright 
You so bright you black 
Shinin' and cryin' to fight them back 
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
..."
4,Brooklyn,1999,Black on Both Sides (1999),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Hey hey, haha, say what, say what
Haha, bust it yo
Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, is beautiful Brooklyn
Long as I live here, believe I'm on fire hey
'Cause it's the B-the-R-the-O-the-O-K
L-Y-N is the place where I stay
The B-the-R-the-O-the-O-K
Best in the world and all USA
It's the B-to-the-R-the-O-the-O-K
L-Y-N is the place where I stay
The B-to-the-R-the-O-the-O-K
Place where I rest is on my born day
Bust it, sometimes I sit back and just reflect
Watch the world go by and my thought connect
I think about the time past and the time to come
Reminisce on Bed-Stuy when I was pride and young
I used to try and come to the neighborhood function
Throw on my Izod, say a little something
When I was just a youngin', before the days of thuggin'
How me and Charlie Chims, I'm only bugging
Fast forward, nine now I gotta team my seed
I must proceed at God's speed to perform my deed
Livin' the now space and time, round the nine to five
For as long as I'm alive, paw I got to strive
I ain't sittin' roadside, that ain't part of the plan
I'm out here for my fam doin' all that I can
I love my city, sweet and gritty in land to outskirts
Nickname Bucktown 'cause we prone to outburst
Philosophy redefine us, touch mines I touch back
Walk the streets like a sweet and get beat like drum tracks
Catch no shakes over jakes, we bust back
Bring the marty to your face with no place to run back
I'm from the slums that created the bass that thump back
This ain't a game clown, play mes Brown and jump back
What you want, Jack? Young cats stash they jums at
Draw they guns back, mama screams where she sons at
Tryin' to hunt that, recurring dream of high stakes
The fourth largest, first hardest, Brooklyn is the place
Settled by the Dutch many years ago
Three billion strong and here we go
Good morning Vietnam, haha
(We're made in Brooklyn baby)
(We're made in Brooklyn baby)
Yo, sometimes I sit back, reflect on the place that I live at
Unlike any place I ever been at
The home of big gats, deep dish hammer rim caps
Have a mishap, push your wig back
Where you go to get the fresh trim at
Fulton and Jay got the Timb rack
Blue collars metro carding it
Thugs mobbing it, form partnership
Increase armament, street pharmacist
Deep consequence, when you seek sleek ornaments
You get caught, rode the white horse and can't get off
Big dogs that trick off just get sent off
They shoebox stash is all they seeds gotta live off
It's real yo but still yo, it's love here
And it's felt by anybody that come here
Out of towners take the train, plane and bus here
Must be something that they really want here
One year as a resident, deeper sentiment
Shout out, ""Go Brooklyn,"" they representing it
Sitting on their front stoop sipping Guinnesses
Using native dialect in they sentences
From the treeline blocks to the tenements
To the mom and pop local shop businesses
Travel all around the world in great distances
And ain't a place that I know that bear resemblance
That's why we call it the Planet
Not a borough or a prov, it's our style that's uncommon
From Sumner to Tompkins to Lafayette Gardens
Wyckoff, Gowanus, in their army jacket linings
Yo, this goes out to my cats in Coney Isle
Friday night out in front the Himalaya going wild
This goes out to Crown Heights and Smurf Village
The 90's, and all my yarda trini Brown's Village
Parkside tennis courts, thirties, forties, and the fifties
The cats out in Starrett City getting busy
To the Hook, to the East, to the Stuy
Bushwick and Canarsie, Farragut, Fort Greene, and Marcy
My Flatbush posse, generals of armies
When it's time to form, just call me
And let this song be playin' loud in Long B
If you love Bucktown strongly
Raise it up
Brooklyn my habitat, the place where it happen at
Live sway and the sharp balance of the battle axe
Irons is brandished at, thugs draw they hammer back
It's where you find the News Two crew cameras at
It's where my fam is at, summertime jam is at
They play Big and get you open like a sandal back
Hotter than candle wax, hustlin' you can't relax
The crack babies tryin' to find where they mamas at
It's off the handle black, with big police scandals that
Turn into actions screenplays sold to Miramax
The type of place where they check your appearance at
And cats who know where all the hot 'lo gear is at
The stompin' grounds, where you find a pound of smoke is at
Be blazin' John that have your wave cap floatin' back
The doorstep where the disposessed posted at
Dope fiends out at Franklin Ave sellin' Zovirax
You big balling, better keep your money folded back
'Cause once the young guns notice that it's over, black
Brooklyn keep on takin' it, worldwide we known for that
Flossy cats get it snatched like the local tax
The place I sharpen up my baritone vocals at
Where one of the greatest MCs was a local cat"
5,Casa Bey,2009,The Ecstatic (2009),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"""Boogie Man""
Magnetic, the flows are athletic
Dimensions are perfected
But the static and kinetic is power
Past pressure, and mass beyond measure
You can place son where ever, he... ""Don't stop""
Magnetic, the flows are athletic
Dimensions are perfected
But the static and kinetic is power
Past pressure, and mass beyond measure
You can place son where ever, he Bed-Stuy ""Boogie Man""
Magnetic, the flows are athletic
Dimensions are perfected
But the static and kinetic is power
Past pressure, and mass beyond measure
You can place son where ever, he... ""Thank you and thank you very kindly""
Magnetic, the flows are athletic
Dimensions are perfected
But the static and kinetic is power
Past pressure, and mass beyond measure
You can place son where ever, he Bed-Stuy forever
The fresh, the author and associates are proud to present
M-Def the Black, fantastic raw
Dynamic, true Ecstatic, ghetto outstanding
Classic active every place, I have
The skill, power, passion, raise your red lantern
Stanzas and anthems based on expansion
A vantage point of the past, present and after
Rapture, master of ceremony, a master craft
Of the masterminds who craft masters
Master and viber from Brooklyn Island
Legendary asylum, Black Star shining
Bedford-Stuyvesant isn't Strivers
Flatbush blazing like it's smoke of the prophet
And it's constant, my mother an artwork
And God is the author, from Flaco to Archer
We right on target, a ready steady responsive
A black light white in the darkness, y'all just
Are fantastic rawness, good morning, yes
You are rocking with the fresh
You are rocking with the fresh
You are rocking with the Def
With the... yes...
Hah, ye-hee-hes
Right now on it always...
So shocking, never stopping
Always keep the beat on popping
Hah, ye-he-he-heees...
Ye-hee-he-hes...
Right now on it always...
Play on Adidas
You know you can't stop my go
You can't stop my go
Born to be who I am
(Been born to be who I am)
Bright light from a distant star
(Bright light from a distant star)
Miracles, answered prayers
(Miracles, answered prayers)
Huh, all in together now
You can't stop my go
I've been born to be where I am
A bright light from a distant star
Miracles and answered prayers
You can't stop my go
I've been born to be where I am
Mos light from a distant star
Miracles and answered prayers...
Yes, ye-hee-hees...
Right now on it always...
So shocking, never stopping
Always keep the beat on popping
Hah, ye-he-he-heeees...
Hah, ye-he-heees...
Right now on it always
Author and associates are proud to present
Static rhythms of Boogie Man productions
Don't stop the rock
You don't, don't stop the rock
You don't, don't stop the rock
You don't, don't stop the rock
You hear the people say ""Don't stop""
Don't stop the rock
You don't, don't stop the rock
You don't, don't stop the rock
You don't, don't stop the rock
You hear the people say ""Don't stop""
{*Repeat 5X to fade*}
You can't stop my go
I've been born to be where I am
Bright light from a distant star
Miracles ""Don't stop"""
6,Champion Requiem,2004,The New Danger (2004),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"(Mos Def)
Bismillah ir Rhman ir Raheem
Peace, peace what's up y'all this is Mos Def
And this is a message to the people
If you see or hear goodness from me
Then that goodness is from The Creator
You should be thankful to The Creator for all of that
'Cause I'm not the architect of that
I'm only the... the recipient
If you see weakness or shortcoming in me
It's from my own weakness or shortcoming
And I ask The Creator and the people to forgive me for that
Thank you Brooklyn, Thank you World
Yeah, yeah there it is
Turn my voice up in the top a little bit
It feel good to be back
What's up ochenta?
Yeah, yeah, ha...
It's the Black Dante in your headphones
Speakerbox (freaky radio) freaky radio
(Everywhere on the dial) tell you a little bit about me
For my hometown, break down a little history for you
Myrtle and Broadway, Roosvelt projects, Mossie projects
Listen...
(Verse 1: Mos Def)
I stepped on the field from no league just home team
I Jumped out the stands and I snatched the rock
With the final seconds dwindling on the clock
Mos post up to throw up the tie-breakin shot
I put it through the net and let the world's jaw drop
Then fled the arena before they called cops
Tell the players and the coach I wasn't tryin' to blow spot
But the way they was ballin' made it difficult to watch
I was taught when there's somethin' you can change around
Keep quiet, you got nothin' to complain about
You got work to do, I don't know if that work for you
But that's how Mos work it through
And my work is personal, I'm a workin person
I put in work, I work with purpose
I get it there, on the water, air, the surface
You feel the impact? Niggaz yeah it's workin
Listen God did not make me a fearful person
The only fear I have, Is my failure to adhear his path
I would love it just to hear this back
On the ghetto streets where y'all at
On the ave's where the Jeep's go past
In the coupes where the seats go back
In the parties where it be so packed
And the atmosphere be so black
And them black things be so phat
If I could I would be so glad
But if not I won't be so mad
I'm still being a man, still feeding my fam'
And even if you don't see it my fam
I believe that I am, truly gifted, truly blessed
I'm yours truly, Brooklyn's own, Mos Def
I'm rockin' the hard right, ground zero, to far left
I'm, well balanced, with immense talents
Burn the script, then flip it to keep myself challenged
And that's the mark of a true champ-ine
That's whether I'm in or outside the ring
No fights, no tilte, no crown or reign
Feel my presence even when I'm up out this thing
Just trust, that's what I'm about to be
But until then settle in and rock with me
(Outro: Mos Def)
Ha, that's what its about to be
Ghetto people look alive with me
And say, We 'gon, stop by
Then we just keep movin on
Ghetto people, look alive and
Feel free, we just keep movin on
For Alliah, Left Eye, Jam Master Jay
All the great hero's who have passed away
Scott Laraque, Big and Pac, Feaky Tai, Big L
All the soldiers locked down in the cell
Lock up the flesh, but the spirit will prevail
To our loved ones, and deceased
Dyin' in the street, or quiet in their sleep (B.I.G.)
Rest in peace, your livin' in the mansions of our memory (+Sans Marie+)
Rest in peace, your livin' in the mansions of our memory
And that's real
'Cause everythin' in life 'gon come to an end
Because it must, and when it does
I hope that y'all remember me
With true respect
And ghetto love
Now raise it up
'Cause everythin' in life 'gon come to an end
Because it must, and when it does
I hope that y'all remember me
Black Dante, from Myrtle and Broadway
Yeah, yeah y'all
Let me hear it back (echo)
Freaky radio (freaky radio) ha...
Freaky radio (freaky radio) everywhere on the dial"
7,Climb,1999,Black on Both Sides (1999),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"People climbed into the night like space suits
People stepped into the night like moon boots
Marching like moon troops in their soot-colored zoot suits
People climbed into the night like cool wells
Shiny bottles in their hands, drinking their new selves
They say it's their true selves
People climbed up in the night like green trees
They were hanging from the night like green leaves
Buzzing like queen bees
People climbed into the night like space suits
People stomped inside the night
Stomping and stomping and stomping and stomping and stomping
Where are they going? What's the rush?
Everybody in the place was so out of touch, hey
Night-time is when the things get heavy
You feel alone and you want somebody
Loneliness whispers desperate measures
And you're frantic all by yourself
Night-time is when the things get heavy
You feel alone and you want somebody
Loneliness whispers desperate measures
Baby, don't make no fast moves
Baby, don't make no fast moves
Baby, don't make no fast moves
Baby, don't make no fast moves tonight
People stomped inside the night
Let me climb into the night
Let me climb into the night with you
Let me climb into the night with you
Let me climb
Let me climb
Let me climb
Let me climb, let me climb
Let me climb, let me climb
Let me climb
Let me climb
Let me climb, let me climb with you
Let me climb with you, let me climb with you
Let me climb into the night with you 
Let me climb into the night with you
Let me climb into the night
Let me climb into the night"
8,Close Edge,2004,The New Danger (2004),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"(Mos Def)
Pull up to ya spot on low
Shine brighter than all o' them cats they got on glow
Layin the cut like they not gon' know
'Cause if I gotta make a move dawg they not gonna know
This door marked private this is not fo' sho'
It's Mos Def what you call real fo' sho'
Is they what you call gangsta, hell no
They get a lil' pitch and go snitch to the po'
They all talk fast and they all think slow
I'm Mos Definite and I think so
Flood ya city with the black ink flow
And my crew ain't scared to let them things go
So, stop with the nonsense, like he conscious
I'm just all right dawg, I'm doin' great dawg
I don't play games so I don't playa hate y'all
Get it straight or get the fuck up out my face dawg
I'm like the second plane that made the tower's face off
That shit that let you know it's really not a game dawg
Your grind and my grind ain't the same dawg
I'm the catalogue, you the same song
So cool and ol' school like 84'
The one ya lil mami windin' up her waist for
The name that real niggaz got they hands raised for
Me and Mini got ya block yellow taped off
Don't push me (get off)
'Cause I'm close - To the streets,
To the beach, the bitches, the niggaz,
The women, the children, the workers,
The killers, the addicts, the dealers
The quiet, the livest, the realest
- And that's close
Don't push me, 'cause I'm close
To the edge, back, middle, and front
Strong back shit liftin' it up
From the big and the small
I'm like J. Brown +Gettin' Involved+
An'when I'm lettin' off around don't get in the cross
Have ya preacher man speakin' low gettin' his cross
Tell 'em wild cowboy not to get off they horse
Before they find out the town law is strictly enforced
It's a real bad way to get ya name in the Source
Testin' the limits of a dangerous force
Ya ended up dumb famous and gone
Your people shoutin' out ya name in they song
Pourin' liquor on the day you was born
Find paint to put ya face on the wall
C'mon fall back, there's no need for all that
It's all good, we all here, goin' all out (all out)
All day, listen when this song say
Don't push me 'cause I'm close - To the streets,
To the beach, the bitches, the niggaz,
The women, the children, the workers,
The killers, the addicts, the dealers
The quiet, the livest, the realest
- And that's close
Don't push me, 'cause I'm close
To the edge, back, middle, and front
Strong back shit liftin' it up
From the big and the small
I'm like J. Brown +Gettin' Involved+
Now get yours
Boom diggy bang-di-bang-di, boom bang diggy (repeated 24x)"
9,Crime & Medicine,2006,True Magic (2006),Hip Hop|Alternative Hip Hop|Political Hip Hop|East Coast Hip Hop,Mos Def,"Boogie man music! Fresh!
(Talking)
It was so beautiful. It was almost unfair.
It's cold but it's true. It was so cold it got warm.
Kids out in the schoolyard and playing.
It was nice and calm. It was dangerous.
When the MC's came, live out the name
And to perform
Some had to snort cocaine to act insane
Before they rocked the don
Now on to the mental pains, spark the brains
Building to be born
Big digger is on the track
Check 'em check chicka icka etta Uh.
(Strange Times)
Everybody got their get high (Oh my)
Their get right, their get nice, they get by (Oh my)
They get open, get ready, get primed
The national pastime is victimless crime
You want your thrill & I want mine
As long we can get it we ain't got to say why
I don't mean to pry, you ain't got to lie
We ain't got to speak when it's written in the eyes
Whenever she was high off the sparkle in her palm
She had a young girl's smile & a hustler's charm
Dying from the city where the hustler's are born
Made, traced, murdered, replaced
Life-long residents barely feel safe
And the street's offer plenty taste and little faith (Break it down)
Little face, soft lips, little waist (Break it more)
Tiny hands (Oh god) bad ass (Oh more)
Big eyes like birthday surprise
Super duper fly, born in 85
Repeat it to yourself: This is a victimless crime
Psyche your mind there's a victim every time
Your tasty little pill, your freaky little thrill
Pray won't leave you still, you wonder how it feel
It's real, pussy like some money that you steal.
Eww
When the MC came, fill out the name
And to perform
Some had to snort cocaine to act insane
Before they rocked the don
Now on to the mental pains, spark the brains
Building to be born
Give the people a new drug.
Crime and Medicine
Dead wrong and live in America
Off the block and right in your area
Fresh apples and peaches for the president
Ha ha
Crime and Medicine
Dead wrong and live in your area
From the street corner, right in your residence
Fresh apples and peaches for the president
Crime
Fresh peaches and apples for the president
Crime
Fresh chocolates and apples for the president
Crime
Fresh linens and apples to the president
Crime
Fresh."
