,song,year,album,genre,artist,lyric
0,All Night Long,2003,Nate Dogg (2003),,Nate Dogg,"(Intro/Chorus)
It's a party y'all, tear the roof right off
Bounce with the double O-G
Alllllllll night looooong
Get off the wall, all of y'all
Wake up all the people who sleep
Alllllllll night looooong
Let's grooooooove lady
I don't wanna sleep with you, but maybe later on I do
Too smoooooooth baby
C'mon let me dance with you, girl I like the way you move
Home after a hard day's work
I wanna see the mini skirt
Tonight I wanna take you out
I wanna know what you about
I need to grab some juice and gin
I need to call a couple friends
I want to see you shake it and
I hope this party never ends
Where else would I go? What else would I do baby?
It's a party with you lady, ah
I know you want to, it's all up to you baby
We can party all night baby, ah
This party won't stop (all night long)
Let's take it to the top, all night long (all night long, all night long)
This is where I wanna be, my loved ones and me
All night long (all night long, all niiiiight)
Go ahead get off the wall, tear the roof right off
All night long (all night long, allllll, all night)
Welcome one, and welcome all, to the city by the deep blue sea
Where they party all night long, all night long
All night [5X]"
1,Almost in Love,1998,G-Funk Classics (1998),,Nate Dogg,"I was almost head over heels
I was almeost the man of your dreams
And you almost had me sprung
You were almost my only one
Just about had me hooked, till I had to take a second look
Almost in love
Just about had me hooked, till I had to take a second look
Almost in love
Girl you almost made me change my code
And you almost made my pockets grow hoes
Not only did you almost
Make me buy you gold
Downtown you almost make me go
Just about had me hooked, till I had to take a second look
Almost in love
Just about had me hooked, till I had to take a second look
Almost in love
The roses we picked just yesterday
Seemed to have wiltered away
And we've been on the ground
Looking for a four-leaf clover but there's been no luck
Baby I guess it's over
But we almost make it to the finished line called love
Almost and there's no need to raise our voices
Unless we're singing in harmony
But we're not 'cause there's no harmony
But we almost make it almost
Almost in love
Almost in love
Almost in love
Almost in love"
2,Another Short Story,2001,Music & Me (2001),,Nate Dogg,"(Nate Dogg)
Another short story
When he be acting bad, don't he make you mad
Wanna kick his ass, when he already showed ya
He ain't no good and that's a fact
Another sad story
She constatly says she adores me
Girl I'm all dog in love don't leave here anymore
Another short story
Her love was beginning to bore me
It does't take long for my love to fade
Another sad story
I only call when I'm horny
But she acts like we kick all day
It's a quarter pass midnight
Don't he make you mad, you can't find his ass
Seven hours past, since he called you last
Only to you he can do no wrong
Funny how time flies
Especially when you live a whole life
Looking for love is already gone
Another short story
Already gave you a warning
A one night stand homie look what I done
Another sad story
This girl was so soft that's so lovely
I cannot stay 'cause she's to strong
I keep my mind on my monay
And everything else is just find someone else to play her game
I like new skirts yeah like bees like honey (honey)
You can have some if you want, hey no kissing
Ooh no, another short story
Her love was beginning to bore me
It doesn't take long for my love to fade
Another sad story
I only call when I'm horny
But she acts like we kick all day
Another short story
Already gave you a warning
A one night stand homie look what I've done"
3,Backdoor,2001,Music & Me (2001),,Nate Dogg,"When your days get lonely (Days get lonely)
When your nights get cold (Nights get cold)
When the rains starts poring (Rains starts pouring)
When your man ain't home (Man ain't home)
You can call me baby (Call me baby)
You can let me know (Let me know)
You ain't had none lately (Had none lately)
Let me in the backdoor (Let me in your backdoor)
When he walks out the door
When he acts like he don't want you no more
You can do the same thang
You can play at this game
With this love in forehold
He got you doing his chores
Might as well be with me
You ain't nobody's slave
He ain't never gone change
He still be palying his game
You can do the same thang
Girl I won't say a thang
If you won't tell I won't tell
We living life, what the hell
We both want the same thang
Ain't no raison to complain"
4,Bad Girls,2003,Nate Dogg (2003),,Nate Dogg,"I react like a dog when ya move his food
I'll turn your blocks upside down like Rubik's Cube
I need a bad girl to make a nigga lose his cool
But in the heat of the battle she'll pull his tool
I take 'em - skinny, dumb, blind, crippled and crazy
Or even five-hundred pounds sweatin' gravy
You know, she cooks cover, not with Maybelline
So ""Next Friday"" she hunt you like Baby D
I told her I'm not big, I'm tight with money
Tight nigga, stay shittin' with a diaper on me
Niggaz throw on your gators, I'm the type that's bummy
Stayin' around the hood keep me nice and hungry
She said ""I like your style"", I complimented
Her ass like a garden, I gotta dig it
Niggaz better duck when baby squeeze
Bad girl, bad girl from L.A.P.D. nigga
(Nate Dogg)
I, I know that I shouldn't, I
Shouldn't buy into this lie
I know that she got 2 or 3/4 guys
I, I know that these girls all fly
And they know that I'm that guy
Who can make all these girls come alive
Why? Because I got my eye
Got my eyes on them thighs
And she got her eyes on this bad guy
(Chorus: Nate Dogg)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)
(Nate Dogg)
I, I got a nasty mind
And she got a big behind
I gotta make that bad girl mine
Why? She likes to play all night
Knows how to move just right
I better slow down before she pass me by
Tonight, I'ma show her tonight
Won't let her go tonight
Look at her shake it, my-my-my
(Redman)
Ey yo Nate, that bad girl ain't Platinum, she a Diamond to me
She got a car door that open, ninety degrees
Or how 'bout them women, that's outdoor till the mail come
First of the month, they toes and nails done
Workin' three jobs just to feed her children
And to fuck me on the beach at Hedonism
She smoke like I do, ride like I ride
She's that bad girl that'll ride till I die
Fool, nigga, say ya seen what?
Bad girls all gettin' stuck in here
Yo, bad girls, they gettin' stuck in here
Yo, these bad girls gettin' stuck in here
(Chorus: Nate Dogg)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)
Bad Girls (bad, bad girls)"
5,Bag o'Weed,1998,G-Funk Classics (1998),,Nate Dogg,"I'll bring the bag of weed
You can bring the bottle of wine
Call me whenever, we can get together
And have us a real good time
(Nate Dogg)
Its still morning
I'm still yawning
Outside my window
Someone's calling
Her name was Micky
Habits freaky
She liked to do me
Her and her homeys
Did I mention
That I'm balling
Rollin' on gold ones
That's right, crawling
That's why she's jocking
Early this morning
I'm feeling under the weather
I'll soon be feeling better
Don't forget the paper this time
(Somebody's calling)
I'll bring the bag of weed
(Outside my window)
You can bring the bottle of wine
(Somebody's calling)
Call me whenever, we can get together
(Outside my window)
And have us a real good time
(Tray Dee)
Call me whenever, but never ever after 10
'Cause I got to be at home with my bitch and my kids
I hit the skin flip the twin lips of love apart
Get to diggin in ya ligaments then bust ya heart
'Cause from the start, soon as we sparked the bag I brought
I seen you chokin through the smoke noticed your titties was taut
You caught, up in the game that I came to spit
I cracked the hennessey and entered DP gangsta shit
You wanna get with this, or is you in to twist
The game up and make me cum just to say you came up
And gained what another strike on your rap
When you coulda kept your mouth shut and right on the step
With the program knowin' damn well you wrong girl
'Cause I shook you and took two of your homegirls
You played yourselves so I had to leave
Baby shoulda just chilled off this bag of weed
(Somebody's calling)
I'll bring the bag of weed
(Outside my window)
You can bring the bottle of wine
(Somebody's calling)
Call me whenever, we can get together
(Outside my window)
And have us a real good time
I can bring the fat ass bag of weed
I just now left the spot
You can bring the cold ass bottle of wine
And make that your first spot
(Somebody's calling)
I'll bring the bag of weed
(Outside my window)
You can bring the bottle of wine
(Somebody's calling)
Call me whenever, we can get together
(Outside my window)
And have us a real good time"
6,Because I Got a Girl,1998,G-Funk Classics (1998),,Nate Dogg,"When the cats, awake
The mice will play
That's what the people say
All I know is doggs play anyways
'Cause I play everyday
You do it too don't lie
Soon as you're out my site
I seen you creepin' by
While I was creepin' mine
While I was checkin' out
I saw you checkin' in
I shoulda knocked you out
But I was with your friend
x2
Because I got a girl, don't mean we can't talk
Because I got a girl, don't mean I won't break you off
x4
(Come On) Come on girl let me heed it
(Come on) Meet me at the deli that's if you're weeded
Back in the days I used to like bitches
But I tell you nowadays bitches ain't shit
And if you wonder why I say this
I've had a few bitches and bitches think they slick
Runnin' around, playin' all my niggaz
Trying to split a brother from his grip
Got all these bustaz watchin me
But I tell you right now hoe, I don't slip
I'd like to give a shout out to my favorite girl
But I won't you know why, because she's a trick
And if I give a shout out to a sneaky bitch
I got to give a shout to the nigga she's sneakin with
(And all my homeys say)
Because I got a girl, don't mean we can't talk
(Come on girl let me heed it)
Because I got a girl, don't mean I won't break you off
(Meet me at the deli that's if you're weeded)
(x4)
Come on girl let me heed it
Meet me at the deli that's if you're weeded
'Cause I have never met a girl
That I love in the whole wide world"
7,Can't Nobody,2001,Music & Me (2001),,Nate Dogg,"(Feat. Kurupt)
Can't nobody
Do you like we do
Can't nobody
Do you like we do
(Kurupt)
Pistols and penitentiaries
Gangstas on a worldwide hunt for head huntin
Spead dumpin lead bustin'
Tell me you wanna be done
It's so many thangs on these streets
Gang bang on these streets
Heat holders
That hug wit slugs
And it's the thang to be either crips or bloods
Nate show these niggas how it was
And how nobody do it like we does 'cause
(Nate Dogg)
Something about the west coast
Makes me bang the beats
Something about the west coast
Makes me run them streets
Somethin' about the music
Makes me wanna sing
Something about this chronic
Knocks me off my feet
That's real chronic baby
I know you never thought these niggas could be this good
We'd be bumpin in your system from hood to hood
I know you never even though we would last this long
You were dead wrong
Homie this is Nate he's a double O.G.
All up in the place Kurupt
Better ask your girl why she starin' at me
Leave me alone
(Kurupt)
Calicos
We ready for the get down
You ready to have sit-down
Bitch nigga sit-down
Runnin' in and out ya house
Runnin' in and out ya spouse
Don't say shit or I'll be running in and out your mouth
Gangstas get the party crackin'
Hit a land and get it crunk
Nate Dogg and Kurupt
Yeah nigga that's wussup
Now I gotta show y'all how the west coast rock shit
Concoct and plot shit
Dogg pound oxes
(Kurupt)
DPGC
The greatest on this earth
Gangsta that was taught shoot before you converse
Go against the grain and we convert to the worst
Take flight like eagles
Puncture like needles
Touch him without even bein present
The greatest on this earth west coast presents
The Dogg Pound muthafuckin gangsta nigga
On all gold feet
Yeah them all gold D's
We double O.G.'s
(Nate Dogg)
Something about the west coast
Make me bang the beats
Something about the music
Makes me wanna sing
Something about the chronic
Knocks me off my feet
That's real chronic baby"
8,Concrete Streets,2001,Music & Me (2001),,Nate Dogg,"I'm from the jungle with the concrete streets
You don't wanna rumble wit the real O.G.'s
Man I'll plant ya like a chronic seed
And ya girl done ran away wit me
I can show you how to catch these freaks
I can show you how to beat these streets
I can show you how to crack the safe
Let me show you how to break that bank
(Nate Dogg)
Ain't a damn thang changed
Still rollin' on Dana Danes
Still packin steel claimin DPG
I always keep my thang
Always got weed on my brain
Always got a dime piece wit me
I'm gone let yo roll call
I'm gone ball till I fall
Keep it gangsta just for all of y'all
Nate D, O, double G
Bangin' from the west to the east
(Nate Dogg)
No need to fight it baby
I know you want it lady
I can tell by the way you watch me
I like the way that you walk
I like the way that you talk
Ooh what that accent does to me
Yeah I still claim 213
Yeah I still bang DPG
Hang wit Nate, Snoop, and Warren G
Yeah I got hoes that love me
Got gangstas bangin' my beats
I got hoes from here to overseas
(Nate Dogg)
I need a gangsta lady
One from around the way
I need a girl that likes to play everyday
She said her friend wants to see
She said her friend is nasty
I say you get your friend and come right away"
9,"Crazy, Dangerous",1998,G-Funk Classics (1998),,Nate Dogg,"(Nate Dogg) (Nancy Fletcher)
Now life for me (Life for me)
Livin' on the streets (On the streets)
Used to be, hectic, scandalous (Scandalous)
The people I meet (people I meet)
When I'm on these streets (On these streets)
They can be, crazy, and dangerous (And dangerous)
When you're broke as you can be
And you're on them streets
You have to be, cunning, homey
Keep your hand (Keep your hand)
On the Hardest Man (Hardest man)
Or you may be, a dead man"
