,song,year,album,genre,artist,lyric
0,Adios Uncle Tom (Skit),2008,The 3rd World (2008),Underground Hip Hop,Immortal Technique,"Yo
This is Poison Pen, with a message to the industry coon
No matter how Hollywood you think you are
No matter how many records you sold
No matter how many chains you rock
How big your rims are, or how shiny your freaking grills are
This is what they think about you
""(?) Nigger!""
""Burn the Mexican flag for American""
""He's a nigger!""
""The Qu'ran is a document of slavery and shatel""
""He's a nigger! (Oh my God) A nigger look at the nigger!""
""Don't tell me I need re-education, they need deportation""
""We need to close our borders and this needs to be a white country like our forefathers founded it""
Keep shucking and jiving and showing ya teeth, bitch."
1,Angels & Demons,2011,The Martyr (2011),Underground Hip Hop,Immortal Technique,":
: What do you see when you're in the dark, and the demons come?
: I see you... I see you standing over the grave of another dead president.
:
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
:
America's nightmare, young black and just don't give a fuck
Run up in a court room and wet 'em up
Got nothin' to lose, but my handcuffs
Every man must choose to lay down or stand up
It's war time, everything is fair no fear
When they said the homie murdered the judge, I don't care
Fuck him, he deserved it
Long as the homie get away and don't get caught for the crime, I encourage it
We rootin' for the villain in black
Pourin' out our salutes, salute, niggas is shootin' back
In self defense we bang the pistols
Like, 
 or Brian Nickles
Every pig, every public official the boomerang is comin' back to get you
You reap what you sow didn't you
The system you created, created a monster
And now you scared 'cause it's comin' back to haunt ya
:
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
:
Since we gonna take the blame, I'ma rep my name to get my aim right
Let's have a overthrow and after-party in the same night
Same height as 
, same muscle build as 
With the same circumstances in the hood, you know the outcome
And read it in the news about your sergeant and your captain
Don't take this as a warnin' just another nigga rappin'
Fuck the way we organizin', fuck the trainin' and the grapplin'
And fuck them Uncle Toms who call police because we smacked 'em
And fuck you sympathizers with your middle class reactions
'Cause we bangin' on the system, G'ed up, fuck the factions
And if you didn't know the G was for 
And long live his warrior spirit, packin' a Magnum
Watchin' over the soldiers knowin' niggas be blackin'
When we really need to be disciplined in our ways and actions
When we get some freedom you niggas can start braggin'
Until then, inside the blood in my eye, you see the dragon
:
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
:
I'm like the birth of baby Muhammad
The movement I started could spar with the hardest
A martyr regarded as spartic dis-hearted
It doesn't matter whose missiles can shoot the farthest
When you're a target in an Afghan Teutoburg forest
Close quarters combat over corrupted elections
Bilderberg is like cancer it grows with infection
Nepotism is the gold in the conductors connection
And ignorance is the prison that the people are kept in
The military ain't there for the peoples protection
They're just there to protect an investment
That's why people get arrested, electrocuted, molested
Connected streets are infested with those, tired of protestin'
Traumatized children, grown in guerrilla garrisons
9/11 generations pale in comparison
And you will learn a lesson repeated through history
That no matter what you think, occupation is not victory
:
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
I see angels above me
Demons below me
Fightin' over Heaven, Heaven
Heaven it's real
:
Somalia, Kashmir, Nigeria, Palestine, Iraq, bring it back."
2,Apocrypha (Interlude),2008,The 3rd World (2008),Underground Hip Hop,Immortal Technique,"The evil genius
Invasion
Wake up!
Wake up!
Wake up!
Wake up!
The evil genius
Green Lantern."
3,Beef And Broccoli,2001,Revolutionary Vol. 1 (2001),Underground Hip Hop,Immortal Technique,"Look, let me make something abundantly clear for people
That're so bereft of activities they feel like they have to comment on every one of mine
First of all, being a vegetarian should never be associated with being a revolutionary or being
Open-minded
That's a dietary choice
If someone wants to proliferate the type of ignorance we're supposed to be fighting by thinking that
You're just fucking yourself
I don't go around promoting beef and poultry
Shoving it in people's faces
I don't castigate people for not eating steak sandwiches
And I would never diss someone for being a fucking broccoli head
Or living off radishes or eating grass or tofu
I like a lot of vegan cuisine
But the illogicality of expecting everyone to adopt your particular idea of what being healthy is
Is just preposterous
I seen some of you herbivores
And if you wanna argue health y'all need to eat some kind of supplement
Cause some of y'all are so fuckin' skinny it's disgusting
Lookin' like the only hip hop motherfuckers on Schindlers List
Being a malnutritioned ass has nothing to do with being a revolutionary or being on point
I'll be damned if I let somebody else push their agenda on me
You know I don't eat pork, not 'cause I'ma Muslim, I just don't really like it
But I really will fuck a bird up
And fish is good when that stuff is fresh
It's like my nigga Vast Aire from Cann Ox said:
""If you don't like the smell of burning meat well than get the fuck off the planet""
You know I don't criticize people for eating moss
Then don't open your fuckin' mouth about my food man
I like beef and broccoli motherfucker! Mind your goddamn business
Matter of fact, you know what? I'm out
I feel like some arroco pollo, a banana daquiri and a motherfuckin' bestal benano"
4,Black Vikings,2011,The Martyr (2011),Underground Hip Hop,Immortal Technique,"Beware the beast man, for he is the devil's pawn. Alone among god's primates, he kills for sport, or lust, or greed. Yay, he will murder his brother to possess his brother's land. Let him not breed in great numbers, for he will make a desert of his home and yours. Shun him; drive him back into his jungle lair, for he is the harbinger of death.
(Poison Pen)
Yeah | Immortal Technique | SP the Ghost | Poison Pen | Vinnie Paz
We gonna stomp 'em out, run them out, run them out, call your number out, send your uncle buggers out
We gonna stomp 'em out, run them out, run them out, nigga ain't nothing civilized about no uncle buggers nigga, you feel me? Don't bring no uncle buggers out nigga, fuck outta here
(Immortal Technique)
All troops in formation? Let the siege commence!
(Verse 1: Immortal Technique)
Back like I was locked up, putting in work
Burning through books like Nazis in a Catholic church
I'm cursed like Cain when he murdered his brother
Cut your face off and wear it while I'm fucking your mother
I am Mars Ultor, the avenger, the God of war
And if you don't believe in me, I doubt you believe in God at all
I breathe smokeless fire, the Jinn type,
That'll make you hate the way Allah made you to live life
Like Hindu niggas that be bleaching their skin white,
Other people's teeth in my hands after a fist fight
I was born with a sixth sense and a swift right,
Skinned werewolves and raped demons at midnight,
Sell your kids into slavery after we murder you
Or sacrifice them in the same fire we burning you
Barbarian funeral nigga, you wanna know
Damn the river, bury me, and let the water flow
(Hook: Poison Pen)
Chaos, mayhem, bang outs, slay them, uprise, rape them, raid them,
Cage em, pandemonium, insurgent, death merchants, commit the best murder, pillage, Kill them, erase history, make them a mystery.
(Verse 2: Styles P)
Cut the nose off or the ears off the whole head
Immortal and Ghost coming: Code red
You never seen a black barbarian, warrior
War lord, pussy, cut your balls off
More bodies come; more bodies hauled off
What you want the sword or get shit sawed off
You don't need an accident,
And I'm breaking your back 'cause your spine needed a crack in it
You bugging me, I'm coming to fumigate,
Like Wolverine and Sabretooth, the way that I mutilate
I'm like the Viking in Valhalla Rising,
Except I got black skin and both of my eyes in
Don't test him, please don't stress him,
He'll hang you from a tree with your own intestines,
How you wanna die? make your own suggestion,
Now talk to the Lord and make your own confession
(Hook: Poison Pen)
Chaos, mayhem, bang outs, slay them, uprise, raid them, rape them,
Cage em, pandemonium, insurgent, death merchants, commit the best murder, pillage, Kill them, erase history, make them a mystery
(Verse 3: Vinnie Paz)
You pussies living in a movie theatre,
Put the motherfucking spell on you like Brujeria
Chop his motherfucking head like a ruthless leader,
Guns drawn in a church service, shoot the preacher,
You need to be Godly to know Allah
Ain't no rappers eating around me like a broken jaw,
It ain't ever been a day that I ain't broke the law
What you think I hold a motherfucking toaster for?
I ain't going there, there's police in that room
And Vinnie walk around with bags of dust like a vacuum
Bury you under the earth inside a black tomb
My body covered in dashiki and stab wounds
I'm a gorilla/guerrilla, barbarians is my ancestors,
That's a part of my neurological transmitters,
We Islamic and brought the story of Shams with us,
While we brought the motherfucking blam blam with us
(Hook: Poison Pen)
Chaos, mayhem, bang outs, slay them, uprise, raid them, rape them,
Cage em, pandemonium, insurgent, death merchants, commit the best murder, pillage, Kill them, erase history, make them a mystery
The walls have been breached! Advaaaaaaance!
We came in the name of peace and brotherhood, you wanted us bound in slavery, poisoned our water, changed our names...
Burn their homes, take their jewels, skin them alive!
Hold on, hold on, hold on... not they women though. (Heh heh ha ha ha ha ha!)
No one will know these people ever existed, and all that will be left is what we build upon their ruins..."
5,Burn This,2011,The Martyr (2011),Underground Hip Hop,Immortal Technique,"This is Immortal Technique. Harlem, New York. All over the world.
And this is The Martyr.
If you are listening to this... It is your responsibility to
Burn this for every single muthafucka you know!"
6,Civil War,2011,The Martyr (2011),Underground Hip Hop,Immortal Technique,":
You know what? Fuck Dirty Harry.
We got guns too, nigga!
Fuck the Terminator, nigga.
Fuck Rambo, nigga!
The ghetto is like a prison with invisible bars
No matter where you at always follows you where you are
And it's hard out there for a pimp to get outta
But it's harder for the hooker that he beat the shit outta
I got niggas underground in the confederate states
Ironically runnin' from slavery that prison creates
So I never hate on the south, I respect they vision
I just hate on the niggas that promote Samboism
And white execs that love to see us in that position
They reflect the stereotypes of America's vision
They want us dancin', coonin' and hollerin'
Only respect us, for playin' sports and modelin'
More than racism, it's stay-in-your-place-ism
Our people are trapped in practical black-face-ism
So fuck a civil war between the north and the south
It's between field niggas and slaves that are stuck in the house
:
Civil war for the soul of a nation
This is a struggle to save civilization
Demonstrations overthrowin' the occupation
The annihilation of mental colonization
Civil war for the soul of a nation
We fight for the future of our civilization
Destroy the corrupt government organizations
Tryin' to survive cultural assassination
:
Crip niggas, blood nigga, eses, asians
Why the fuck we warring with each other's population
The devil want us dead, all our population
People in folk nation, why the separation
Why we got Jamaicans hatin' on Hatians
When the British and French raped both nations
Mexicans and Blacks kill each other, straight hatin'
While the government profits from prison population
If you on the bottom, be you Anglo or Asian
You gotta recognize the realness of what I'm sayin'
You gotta recognize another G ain't the enemy
When the police ride, they kill us frequently
We gotta make the youth see, where the truth be
If you a G, then go and develop GD
50 years of gangs and our people still poor
If we really run the streets, we should really end war
:
Civil war, for the soul of a nation
This is a struggle to save civilization
Demonstrations overthrowin' the occupation
The annihilation of mental colonization
Civil war, for the soul of a nation
We fight for the future of our civilization
Destroy the corrupt government organizations
Tryin' to survive cultural assassination
:
Listen, our hearts were torn apart just like Yahweh's
Watchin' towers full of souls fall to sawdust
Every time we called your office you ignored us
Now you holdin' hearin's on us all inside of Congress
Microscopes on us, ask if we're Jihadists
My answer was in line with all of the Founding Fathers
I think Patrick said it best, Give me liberty or death
I shall never accept anything less
You claim innocence, you play victimless
But you gave the kiss of death in the name of self-defense
Slavery and theft have brought other nations to the end
To pacify your citizenry with success
We believe in freedom, justice, security
But they're only good when applied universally
So certainly if I rage against the machine
My aim was only to clean the germs out of the circuitry
Heard you need puttin' fear inside your heart
Make you burn Qu'rans and tell me not to build a Mosque
Me, my wife and babies we ain't never made Jihad
We just want to touch our heads to the floor and talk to God
Ask him to remove every blemish from our heart
The greatest threat of harm doesn't come from any bomb
The moment you refuse the human rights for just a few
What happens when that few includes you
Civil war"
7,Conquerors,2011,The Martyr (2011),Underground Hip Hop,Immortal Technique,":
Nearly all religions were brought to people, and imposed on people, by conquerors, and used as the framework to control their minds.
My main point here is that if you are a child of God, and God is a part of you, then in your imagination God's supposed to look like you.
And when you accept a picture of the deity assigned to you by another people, you become the spiritual prisoner of that other people."
8,Creation & Destruction,2001,Revolutionary Vol. 1 (2001),Underground Hip Hop,Immortal Technique,"Yeah
Haha
Se acabado la mierda 
Bout to drop a def' cut
Yo, yo, yo, huh
Immortal Technique, disintegrates mic's when I spit
I cause more casualties than sunken slave ships
Full to capacity, I bring tragedy to rap without my man Kadafi
The government took Nazi scientists from Germany
To design nuclear rockets and ways of observin' me
'Cause their pathetic attempts, didn't work to murder me
When this country was conceived, these bastards never heard of me
But now I hold the souls of slave masters eternally
Bleeding internally, burnin' D, durin' surgery, verbally
'Cause I'm a spirit to which
Devils are incompatible
I've been around since the planet was inhabitable
I spit in the ocean and created microscopic animals
Which evolved into two species, the righteous and the cannibals
But until then, I had alien women suck me off
When God said ""Let there be light"", I turned it the fuck off
And that's the reason earth is only 5 billion years old
I made the sun shine, and permitted time to unfold
The surface was lava, but when I stepped down, it became cold
Fuck what you've been told
My spiritual form became a swarm of molecule sickness
Manifested liquid trapped inside a mountainous region
Until the skies starting raining, continuous seasons
Immortal Technique, at long last, reincarnated
Undebatably reinstated to leave you decapitated
Je suis fous, but my crazy words make sense
I'll split every pound in your body into six pence
I'm sick of simple similes about The Sixth Sense
I'll leave your body drenched in the blood of all your ancestors
You'll never be at peace, like the souls of child molestors
I'll cut you and bless your festering wounds with alcohol
Drown you in a clogged toilet, in a public bathroom stall
I'll rip you down, take a chunk of you home like the Berlin Wall
This is the final call, for all rappers that wanna brawl
Immortal Technique, the wrong motherfucker to dis
'Cause I allow God to let you motherfuckers exist
Hahahahaha yeah, real oh
We about to crash somethin' now, yo
Yo, yo, yo
I'm the stronghold on your neck that doesn't let you breathe
Stronger than the fake image of God in which you believe
More dangerous than your ignorant ass could ever perceive
A European virus, mutated in Africa, overseas
Transported by mosquitoes and fleas to where you live
So lock yourself in your house with your wife and your kids
You're such a bitch, somebody probably made you out of a rib
My arrest record just scratches the surface of what I did
My bid locked me up and brought my life to an end
I was forgotten, abandoned by my bitches and friends
You don't want beef with people like me so don't pretend
I'll resurrect your aborted baby and kill it again
You get no props in hip-hop like feminine men
I'm iller than any plague God gave Moses to send
You wanna make amends, 'cause I'm the reason that the earth shakes
Burying your fam like Central American earthquakes
Immortal Technique
Harlem to Canada
Lyrically damage ya
Te dije que se acabado la mierda "
9,Crimes of the Heart ,2008,The 3rd World (2008),Underground Hip Hop,Immortal Technique,"I turned 21 in prison, locked up at night
Now I walk around free, it seems like another life
Another role with some other dice
Another ho or a loving wife
People come and go
Some really you never know
Intellectual midgets that really never grow
Fake love that hangs on like, can I hold you though?
With no friends that look at you like, yo, yeah I told you so
A toast to the broken hearted, who never finished what they fucking started
People who go out and try to be a rebel at night
Who try to make up for the fact that they settled in life
It's like a fight between the devil and Christ over the limelight
Spiritual celebrity poker, but the whole deck is full of jokers
And every year that you get older, the stakes get higher
Gambling with a bunch of fakes and liars
Real talk 'cause the real New York is the pain and the suffering of lost love
Staring off into the distance of the mist in the club
Depression and emptiness that lead to suicide
And the struggle inside yourself that keeps you alive
Surviving medicated, stalked by sobriety
The life you live now, tortured by memories violently
I pray inside of me that one day you can be forgiven
For murdering the beautiful world we used to live in
Love doesn't need a complicated metaphor
And sometimes, nothing even needs to be said at all
Sometimes the person you with is not your one and only
And you just fuck with them 'cause your afraid to be lonely
And when you come back, it's too late
So you overcompensate like victims of rape for the self hate
Lost in the affection of strangers around you
Instead of the only person who ever gave a fuck about you
Thought you were happy, so you didn't come check me
But then when he cheated or treated you incorrectly
You conveniently realized that you could never forget me
And tried to crawl back in my life, unexpectedly
These are my indictments of those who claim to be righteous
And leave a trail of broken hearts on they way to enlightenment
But I can't give in to hatred and pass judgment
Even towards every illusion I've been in love with
Cause the heart that betrays itself willingly
Is like a nation that trades freedom for stability
It's so seductive to be cold and corrupted
And isolated, trying to be an independent republic
But liberty, to be loved on the surface is worthless
The sacrifice of revolution with no purpose
Take it from a criminal searching for his redemption
Cursing at god, desperately trying to get his attention
What you thought it was over?
This ain't over till we say it's over mother fucker
Ey yo Tech, what do you think about the rap game right about now?
It's all bullshit you know that I know that,
Hey come along with me man well have a budget
I didn't get into this for that.
Well that's all there is
If that's all there is I've been wasting my mother fucken time with you
Yeah yeah uh
(Verse 1 - Immortal Technique)
The game is polluted with rappers that are really snitches
And most DJs are nothing but industry bitches
And we don't got no mansion or riches
But we got guns and knives and your children's pictures
And everybody loses in war, but you lose more
What do you think we brought back the Panthers and the Zulu for?
Immortal, witch doctor, made himself a voodoo doll
For every motherfucker that fronted that I can recall
Fuck the industry, don't call me, you can't get with me
I leave niggas hanging, like Mississippi
RBG to the last drop of blood in my body
Or the feds drag me away, like a Tsunami
But I'll be back, like a fresh body bag from Iraq
Like a Baltimore slum, during the resurgence of crack
Brown and black, like the AK I keep in the strap
While we waiting on the next stock market collapse
(Verse 2 - Fatz Da Assassin)
Territorial oratory editorial
Fuck around I'll be the cause of your lifes memorial
I write wraps territorial east coast porters too
Never crossing borders still I will coastally slaughter you
I'm better than all of you, vendettas be mauling you
You talking cheddar, I'm a shredder, Ill sever it off of you
I never remorse for you, no letters endorsing you
Pole position in the coffin is what is costing you
The Caucus bosses, who control the fortunes too
The mortgages of a cultural loss through and through
But it's the Rebel Arms, Gods speed with devils charm
The bitch made gets switch blades in every arm
And this way we ix-nay on any harm
'Cause snakes play and fakes lay like hidden bombs
We march in unison, the souls is true within
Eternal mission with shit, a lifetime of doing it
(Verse 3 - Goodtime Slim)
Stronghold said it, whoop yo bitch ass with batons
The rebel arms swarm inform like Vultron
Slash your old beats you heard the Mark of the East
Running through cop land screaming Fuck the Police
Hormones in the water, they acting out of order
Like a pack of rabid wolves, they lambs for the slaughter
Crush your mandible rip the drums like animal
Eat MCs, they my own kind, I'm a cannibal
My regimens solute me, haters wanna shoot me
Kool-aid in they veins, they lawyers try to sue me
You sell crack in rap, did a scidd bid
Multiple baby mommas, take care of your kids
Guillotine rap, shackles on your neck
Chemical warfare where punch lines connect
Da Circle played the snipe, with Immortal Tech
They calling the block governor to drag 'em off the set
(Verse 4 - J. Arch)
Rebel Arms out for supremacy and move non gimmicky
Related to royalty on each trip you mention me
Twist bars illishly, rebel against the infantry
Get more than your feet wet when I make you a memory
Cats not ready because they commercially industry
I make house calls on those afraid to visit me
Disrespect? I smash your off the petty
From undisclosed low case fast for the chetty
Arch don't break dance, yet I rock steady
I jump on your scope to prove your aim not deadly
My shot to the top is like Mickey and Mal Smently
Flow milky like the tits of a chick that's top heavy
The Techniques Immortal so Rebel Arms the regiment
Archs styles nicer than other rappers ever been
My canteens full from when the doctor got medicine
Five star general, frontline veteran
Invasion baby,
This ain't a fucken game you think we playing
Immortal Technique
Oh yeah don't forget
Revolutionary Vol. 3 coming soon
You're not worthy, you sons of bitches"
