,song,year,album,genre,artist,lyric
0,All Night Long,1999,The Master (1999),,Rakim,"I'm back! The god remains, still at the end 
They sabotage the game, still I'm a win 
Rakim Allah's the name, and with a pen 
No one can dodge the rain, kill'em again 
In a club or the streets I swerve, cool in the cut 
Looking to see what occurs, crusin' the truck 
Shorty got deadly curves, soothin' her up 
If I must explain with words, I smooth as a fuck! 
The world's most greatest hip-hop's elite 
You obsolete, you cannot compete, drop the beat 
Keep ya ear to the ground when I rock the street 
Cock the heat, we deep papi got to eat 
So cut on the mic and spit, I much rougher 
Plenty of ice and a whip, plus a crusher 
Because I don't like to stick, or bust a brother 
Long as they never forget I'm a ill muther fucker 
So if you love to get your party on 
And you feel that your game is strong 
And you get mad when the broads is gone 
You like it all-night-long 
And when they love it when the place is warm 
And they go out for their favorite song 
They hate when the player game is wrong 
They like it all-night-long 
My caliber's out rated 
Yeah player, so why hate it 
My rhyme through out of control, when I say it 
Spit back with a rap or gat, can I spray it 
How can I say it? I leave it de-hydrated 
I take aim, and he keep the place flamin' 
Till the place cave in, aye yo this ain't a safe haven 
The best is yet to come, so they stay in 
They keep the music loud, the lights is low 
The kid with a different style, I like to flow 
It's time to move the crowd, tonight's the show 
See what it's all about, they like to go 
Get henny and mo and cris, the clothes, the platinum, gold, the wrist 
Plenty of doe, and chicks who pose for flicks 
Women who love roll their hips, when I'm holding this 
My mic's a equipped with a microchip, with a million Megs 
Bite this I might flip, spread a billion plagues 
Put medicine in it before I kill ya dead 
You can get away, if you can fill your legs 
Could you walk? No, at least you thought though 
Auto fours blow a hole in your torso 
Damage his brain with more flow until he talk slow 
Try to say something now? I thought so! 
I leave emcee's bleeding, while I'm fleeing across sea-in 
Start breeding, double my Swiss cheese in Sweden 
Free on the weekend, come back see if he breathing 
They breathing, somebody left his brains beat in 
A deadly attack is rare, style will be raw 
Be ready to rap you'll hear, as wild as before 
If I bust a gat in the air, watch the galaxy fall 
And the world will be splat on the floor, that'll be all"
1,Dedicated,2009,The Seventh Seal (2009),,Rakim,"You and me (You and me)
We used to be together (Used to be)
Everyday together (Everyday)
Always (Always)
You was dead from the beginning, all I had to do was survive
In a race against millions where they lose they die
?
?
At the end of the race waiting so I used your guide
I found heaven in you, You shared your light with me
Gave me insight way before the light hit me
It's more than just a bone 'cause we inseparable
Even when they cut the cord on the ambilocal
Never martyred a moment away
And fix whatever was wrong and always know what to say
The same way to my sisters and brothers
Always honest, and showed me what unconditional love is
The voice of a goddess, the stars twinkle in your eyes
My heaven on Earth or angel in disguise
If you was here I'd just hug and kiss you
'Cause to me words can't explain how much I miss you
You and me
We used to be together
Everyday together
Always
I watched the ladies shine, and stay on their grind
While the world weighed heavy on the lady's mind
It was a crazy time
It's like the world stopped fast with pap's pass in '89
The harder we cry, the harder you cry too
?
It's hard to keep going, the harder you try to
?
You tried to be strong and keep the fam together
?
While you smile with your open arms
?
You said it takes some time, take it slow, but time will take it's toll
And the stakes is high, till the day you die
But I refuse to accept eventually that I would have to say goodbye
You and me
We used to be together
Everyday together
Always
I really feel that I'm losing my best friend
I can't believe this could be the end
I'm starting to see how short life is
Every second it gets shorter, but your heart get warmer
And you get stronger
Even when they said you need a transplant and dialysis to live longer
?
You still managed to live life to the fullest for years
And then things got complicated
They found a donor so they operated
A gift and a curse, and concern that things took a turn for the worse
And even if I seen the signs I doubt the actions
Nothing had prepared me for what was 'bout to happen
The hospital; the 18th floor, vivid
July 18th, 2005 I can't forget it
It's that day I'll forever know
The end; the day I hope will never come
You and me
We used to be together
Everyday together
Always
I really feel that I'm losing my best friend
I can't believe this could be the end"
2,Documentary Of A Gangsta,2009,The Seventh Seal (2009),,Rakim,"(Rakim)
Ay, yo this right here man, it's like the documentary of a gangsta man, the rise and fall
(IQ)
How them boys gon' play me? They must be crazy, baby, oh you better pay me
(Rakim)
I ain't playin' wit y'all
(IQ)
How them actors gon' act up, like I ain't got back up, back up 'for you get smacked up
(Rakim)
Where my paper man?
(IQ)
Why they wanna play games with me? But they don't know that I'm crazy
(Rakim)
Don't make me kill someone.
(IQ)
I don't know what they thinking, they must've been drinkin'.
(Rakim)
But what?
(IQ)
I'm that king pin
(Rakim)
He said slow papers, you're out oh.
It's like spittin', heresy is all about flow
Like he can't eat his cake and he starve when the count low
He call the lab the bakery, he all about dough
Stuffin' bread, his pockets is hungry
You talkin' nonsense, unless the topic is money
He call a hundred dollars a hunny, mommy's he call 'em dimes
So his mind's on his money, but mommy's is on his mind
Like a o.g. focused on the come-up,
Think he f-in around? He approachin' with the gun-up (bam)
Roll a blunt up and forget it happened
Stash the dollars, bag the product and get it crackin'
He get pies, he flippin' 'em tricks, he trickin' 'em
He call 'em heifers, he hugh heffin' 'em, he pimpin' 'em (where my money)
Fonzie, getting them ones for the connect
So have them ones correct when he come and collect (here he come)
Hook (IQ)
(Rakim)
That sound like blood money
And I ain't just talking double dubs and club money
I'm talking drug money, move out the hood money
Double up money, you could catch a slug money
This kid'll murder you, more than the business
If you livin' for revenue its principal never personal
Get rid of you if you blockin' the bigger picture
He on the block thinkin' a gwop is gettin' richer (get them ones)
He flipped some urban blue, played with them keys
For them c-notes, so he can handle the whole piano
Hammers unloadin' ammo, if his army ain't in harmony
He kill his own fam-o, like tony soprano
He's tryin' to take it from minor to major and grind for the caper
His mind is made up, he'll die for the paper
Crime is second nature when you love cash
Do 'em dirty, he turned the ave into a blood bath (here he come)
Hook (IQ)
(Rakim)
The heater bustin' mean the reaper comin'
Drug money keep him buggin' out the trees he puffin'
Streets is buzzin' 'bout the repercussion
But he so much in love with his bread, the beef is nothin' (ain't nothin' man)
He got medals for war, just like a veteran
But now he bringin' cheddar in, more than he ever been,
Banked up, he stepped his hustle - pimp, smoke, coke, crack
Heroin game up, American gangsta (uh huh)
Sleep with the fish while he ran the loot and
You like ballin? He like stealin' and shootin'
Comrades, customers, competition connect (don't matter)
Some hustlers is wishin' and plottin' the day of his death (bring it on man)
What's his focus? Keys is.
Even with karma catchin' up, it's hard to set him up, he always holdin' heaters (whoa)
But yo, they know his weakness, so they gave that bread to him
Somebody put a gun to his head, guess what he said to 'em?
Hook (IQ)"
3,Don't' Sweat the Technique,2008,"The Archive: Live, Lost & Found (2008)",,Rakim,"Don't sweat the Technique (2x)
Let's trace the hints and check the file
Let see who bit to detect the style
I flip the script so they can't get foul.
At least not now, it'll take a while
I change the pace to complete the beat
I drop the bass, till MC's get weak.
For every word they trace, it's a scar they keep...
'Cause when I speak, they freak
To sweat the technique
I made my debut in '86
Wit a melody and a president's mix
And now I stay on target and refuse to miss
And I still make hits
Wit' beats, parties, clubs, in the cars and jeeps
My underground sound vibrates the streets
MC's wanna beef then I play for keeps
When they sweat the technique
Don't Sweat the Technique
They wanna know how many rhymes have I ripped in rep., but
Researchers never found all the pieces yet
Scientists try to solve the context
Philosophers are wondering what's next
Pieces are took to last who observe them
They couldn't absorb them, they didn't deserve them
My ideas are only for the audience's ears
For my opponents, it might take years
Pencils and pens, are swords
Letters put together form a key to chords
I'm also a sculpture, born with structure
Because of my culture, I'm a rip and destruct the
Difficult styles that'll be for the technology
Complete sights and new heights after I get deep
You don't have to speak just seek
And peep the technique
But don't sweat the technique
I speak indiscreet cause talk is cheap
Then I get deep and the weak then complete their
Pull with a seat, never weak or obsolete
They never grow old techniques become antiques
Better then something brand new 'cause it's radiant
And the wild style'll have much more volume
Classical too intelligent to be radical
Masterful, never irrelevant: mathematical
Here's some soothing souvenirs for all the years
They fought, and sought, the thoughts and ideas
It's cool when you freak to the beat
But don't sweat the technique
Don't sweat the technique (2x)"
4,Eric B Is President,2008,"The Archive: Live, Lost & Found (2008)",,Rakim,"I came in the door, I said it before
I never let the mic magnatize me no more
But it's biting me, fighting me, inviting me to rhyme
I can't hold it back, I'm looking for the line,
Taking off my coat, clearing my throat
My rhyme will be kicking it until I hit my last note
My mind'll range to find all kinds of ideas
Self-esteem makes it seem like a thought took years to build
But still say a rhyme after the next one
Prepared, never scared, I'll just bless one
And you know that I'm the soloist
So Eric B, make 'em clap to this
I don't bug out or chill or be acting ill
No tricks in '86, it's time to build
Eric B easy on the cut, no mistakes allowed
'Cause to me, MC means move the crowd
I made it easy to dance to this
But can you detect what's coming next from the flex of the wrist
Saying indeed that I precede 'cause my man made a mix
If he bleed he won't need no band-aid to fix
If they can get some around until there's no rhymes left
I hurry up because the cut will make 'em bleed to death
But he's kicking it because it ain't no half stepping
The party is live, the rhyme can't be kept in-
Side, it needs erupting just like a volcano
It ain't the everyday style of the same old rhyme
Because I'm better then the rest of them
Eric B is on the cut and my name is Rakim
Go get a girl and get soft and warm,
Don't get excited, you've been invited to a quiet storm
But now it's out of hand 'cause you told me you hate me
And then you ask what have I done lately
First you said all you want is love and affection
Let me be your angel and I'll be your protection
Take you out, buy you all kinds of things
I must of got you too hot and burned off your wings
You caught an attitude, you need food to eat up
I'm scheming like I'm dreaming on a couch wit my feet up
You scream I'm lazy, you must be crazy
Thought I was a donut, you tried to glaze me
Funky..."
5,Finest Ones,1999,The Master (1999),,Rakim,"Where the ladies at?
Clarkworld baby
Uh, uh
(4x)
It's the R baby
It's the god baby
(1st verse)
I got rhymes I love to bust looking for a club to rush
It's like thugs will rush the illustrious
We all love to touch the voluptuous
It's a must that we lust, plus we love to crush
Women pose, from timberland's to feminine clothes
Check there portfolios and put'em in centerfolds
Pen explode, draw crowds respond re-el
I stay calm as hell surrounded by bombshells
Careful as I get near'em, stand near and compare'em
Or all girl heirem, I'm the man with the serum
Assets, probably dressed but still bear'em
It seem like they wear'em, just for me to tear'em
In quakes I see more things shake then spring break
It's like a dream state, perfect shape same date
You got a lot to give and look how hot it is, you so provocative
And it's your prerogative. Baby bounce.
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
New York, L.A., Atlanta, V.A., Miami, D.C., tell me!
(2nd verse)
Bon Jour, baby here go my brochure
Give me a phone call, I'll show you the whole store
It's so raw, I'll have your world in all
You wanna know how much the whole package go for?
My spectactale, like a festival, it's majestical, special guest for you
Ready to party hard the party's in yards to the mardygraud
Rap say on's, please give you a body massage
Rock jams, have you hot in your pants and nasty
Forbidden dance with me? Or tickle your there see
Let Ra take you on a ron day vue
Couple of days will do if it's o.k. with you
Deserted isle style middle of winter with no bed
I'll comfort you like you were Jennifer Lopez
You get what you deserve if I said we swerve
I'll hit more than nerve and that's my every word. Baby bounce.
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
Houston, Philly
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
(3rd verse)
Baby you wake up the next day laungary negligee
Give you a sex ex-ray before we catch the rays
Let's blaze a lot more games left to play
While you still amazed from yesterday's escapades
Steadily show my pedigree so thoroughly to the b-o-n-e like chemotherapy
Sex and triple x you ready to wed next, relax baby you need plenty of bed rest
You've been a passenger of a high speed crash with a wild style fashioner
Dark skinned ambassador, chiropractor with a passion
For smashin' your ass like a cardiovascular massacre.
You've be through shock heading at your cu-wop
Body'so hot, you need a shot from your new doc.
With better cures where's it sore I'll wetter more.
And let it pour from her to head to her peticular's, baby bounce.
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
Detroit, San Fran
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
Chi-Town, Boston
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
Cleveland, B-More
Ladies, nothing but the finest ones
The lavishist ones, the ain't hard to findest ones
From the boldest to the shy-ist ones
Which city got the livest ones
Orlando, N.O.
What! Brooklyn, uptown, Queens, Bronx, L.I., Staten Island,
N.J., What! Connecticut, can't forget y'all,
Girls everywhere, ha ha
Girls, girls, girls, girls
Uh, Uh hu
Dedicated to the ladies from Rakim the god
And Clark the world, you heard! What!"
6,Flow Forever,1999,The Master (1999),,Rakim,"(Rakim)
Aiyyo... what's goin' on?
The Mic Lebanon Teflon Don...
I'm back baby
The year of the 9's
And I'ma have to make these motherfuckers a offer they can't refuse
Y'know?
Ha, what's goin' on? Yo c'mon, you know it's on
I wrote a song, test my flow on the Autobahn
Make sure the force is right, I floss all night
Get off the mic it'll smoke like an exhaust pipe
Keep 'em in the lie-bury, studyin my theory
Ra theory get translated in Swahili
From the lands as far as Zanzibar
They understand the R, the man Allah
It's obvious why the copiers, they copy this
Soon as my data processes Y2K they floppy disk
Now who the hottest is? How can it not be this?
Baby who the cockiest? Papi is? Gracias
Aiyyo, this be so, magnifico
Even my, typical, style difficult
Make a crowd go wild when I rip a show
Better stand back, this'll blow, you didn't know?
Chorus: Rakim
They show me love when I'm come through
Yo any club that I come to
I hit a microphone check one two
And they know what I wanna do - flow forever
(Rakim)
You ever witness rapport like this before?
It's cause y'all kiss the floor, say this my Lord
It's the chosen one, with the golden tongue
Flow for the old and young when I'm holdin' one
In the front row sitty, we show no pity
Where kids get jiggy and girls are so pretty
The Wanderer, back from Casablanca
To stomp all, what next for Ra the Conqueror
So let's go, the best show will explode
No dress codes, they just pose in they best clothes
Girls get exposed when I show my rap expo
Will there be a next episode? I guess so
Those that halved out, wanted to have clout
What they mad about? Must be a cash route
MC's switch they style from they last bout
And I bet soon as they hear this they spaz out
(Rakim)
Wherever Rakim go, it's the God temple
It's simple, my M.O., no problemo
Been all over the map, even know where Hell is at
I did the welcome mat, and then welcome back
My flow is raw, they treat me like Mr. Know-it-All
They want me to show 'em all my brand new protocol
Excuse-a-moi, I make a move for Ra
You ain't soupin Ra, save the hoop-a-la
Let me find out you rhymed out designed out
Pullin dimes out then climb out, for time out
I'm at the free throw, playin' ball, or cee-lo, I keep dough
Reloaded like Carlito, incognito
I be so, low key, women get nosy
I do a show they wanna go see to get to know me
In the front row seat they cosy
Thinkin' I'm givin' them the bo-bo-bee until they O.D."
7,Follow the Leader,2008,"The Archive: Live, Lost & Found (2008)",,Rakim,"Verse One:
Follow me into a solo get in the flow
And you can picture like a photo
Music mixed mellow maintains to make
Melodies for MC's motivates the breaks
I'm everlastin, I can go on for days and days
With rhyme displays that engrave deep as X-rays
I can take a phrase that's rarely heard,
FLIP IT - now it's a daily word
I can get iller than 'Nam, a killin' bomb
But no alarm - Rakim will remain calm
Self-esteem make me super superb and supreme
But for a microphone still I fiend
This was a tape I wasn't supposed to break
I was supposed to wait, but let's motivate
I want to see who can keep followin and swallowin
Takin' the making, bitin it and borrowin
Brothers tried and others died to get the formula
But I'ma let ya sweat - you still ain't warm
You a step away from frozen, stiff as if ya posin
Dig into my brain as the rhyme gets chosen
So follow me and were ya thinkin' you were first?
Let's travel at magnificent speeds around the Universe
What could ya say as the Earth gets further and further away
Planets are small as balls of clay
Astray into the Milky Way - world's outasight
Far as the eye can see - not even a satellite
Now stop and turn around and look
As ya stare in the darkness, ya knowledge is took!
So keep starin' soon ya suddenly see a star
You better follow it 'cause it's the R
This is a lesson if ya guessin and if ya borrowin
Hurry hurry step right up and keep followin
The Leader
Verse Two:
This is a lifetime mission, vision of prison
Aight listen
In this journey you're the journal I'm the journalist
Am I Eternal? Or an eternalist?
I'm about to flow long as I can possibly go
Keep ya movin cause the crowd said so
Dance - cuts rip ya pants
Eric B on the blades, bleedin to death - call the ambulance
Pull out my weapon and start to squeeze
A magnum as a microphone murderin' MC's
Let's quote a rhyme from a record I wrote
(Follow the leader) Yeah - dope
Cause every time I stop it seems ya stuck
Soon as ya try to step off ya self-destruct
I came to overcome before I'm gone
By showin and provin and lettin knowledge be born
Then after that I'll live forever - you disagree?
You say never? Then follow me!
From century to century you'll remember me
In history - not a mystery or a memory
God by nature, mind raised in Asia
Since you was tricked, I have to raise ya
From the cradle to the grave,
But remember - You're not a slave
'Cause we was put here to be much more than that
But we couldn't see it because our mind was trapped
But I'm here to break away the chains, take away the pains
Remake the brains, reveal my name
I guess nobody told you a little knowledge is dangerous
It can't be mixed, diluted; it can't be changed or switched
Here's a lesson if ya guessing and borrowing
Hurry hurry, step right up and keep following
The leader
Verse Three:
A furified freestyle, lyrics of fury
My third eye makes me shine like jewelry
You're just a rent-a-rapper, your rhymes are minute-maid
I'll be here when it fade to watch you flip like a renegade
I can't wait to break and eliminate
On every traitor or snake - so stay awake
And follow and follow, because the tempo's a trail
The stage is a cage, the mic is a third rail
I'm Rakim the Fiend of a Microphone
I'm not HIM, so leave my mic alone
Soon as the beat is felt, I'm ready to go
So fasten your seatbelt, 'cause I'm about to flow
No need to speed slow down to let the leader lead
Word to daddy, indeed!
The R's a rollin' stone, so I'm rollin'
Directions is told, then the rhymes are stolen
Stop buggin', a brother said, dig em, I never dug 'em
He couldn't follow the leader long enough so I drug 'em
Into danger zone, he should arrange his own
Face it, it's basic, erase it, change ya tone
There's one R in the alphabet
It's a one-letter word and it's about to get
More complex from one rhyme to the next
Eric B be easy on the flex
I've been from state to state, followers tailgate
Keep comin' but you came too late, but I'll wait
So back up, regroup, get a grip, come equipped
You're the next contestant - clap ya hands, you won a trip!
The price is right - don't make a deal too soon
How many notes could you name this tune?
Follow the Leader is the title, theme, task
Now ya know, you don't have to ask
Rap is Rhythm And Poetry, cuts create sound effects
You might catch up if you follow the records E. wrecks
Until then keep eatin and swallowin
You better take a deep breath and keep followin
The leader."
8,Guess Who's Back,1997,18th Letter (1997),,Rakim,"Once again back it's the incredible""
Yeah, yeah
It's the return of the Wild Style fashionist
Smashin hits, make it hard to adapt to this
Put pizazz and jazz in this, and cash in this
Mastered this, flash this and make 'em clap to this
DJ's throw on cuts and obey the crowd
Just pump the volume up, and play it loud
Hip-Hop's embedded, before I said I wouldn't let it
But me and the microphone is still magnetic
Straight off the top, I knew I'd be forced to rock
Dancefloors just stop, the spot's scorchin hot
Hoping I open Rakim Allah seminars
Massage at the bar smokin' ten dollar cigars
While I admire ?, with more vision than TV's
I find it easy catchin diabetes from fly sweeties
Sit back and wait to hear a slammin' track
Rockin' jams by popular demand, I'm back
I control the crowd, you know I hold it down
When it drop you know it's jiggy when you hear the sound
From town to town, until it's world renowned
And I rock New York City all year around
Check it out
It's on so you can swerve when it's heard in clubs
Thought patterns displayed on Persian rugs
Equations are drawn up in paisley form
Mic it stay warm, my flow is Evian
Deep as a Nautilus, you stay dipped in Ra style
From the shores of Long Island to Panama Canal
Intellect pitches new trends like a clothes designer
I'm in effect, quicker than medicines in China
Split the mic open fill it with somethin' potent to go in
And take a toke then, mental planes start floatin
Hot science is smokin' altitudes cause chokin
Product is hypnotic you're soakin and still smokin'
Showin better scenes than grams of amphetamines
Plans to scheme, means I'll forever fiend
Long as the mic is loud and the volume is pumpin
I'ma move crowds to 2000
Yo, my rhymes and lyrics, find spirits like a seance
Since fat Cray-ons, I write and display chaos
My plan is ?, the diagram know where the damage
I take advantage, until your crowd go bananas
What a rush I hear cuts and I lust to touch
Microphones get clutches by the illustrious
Word spread I inherited, many ways to say the unsaid
Born with three 7's in my head
In time no one can seem to blow your mind as far as this
To find you'll need philosophers and anthropologists
Astrologists, professors from your smartest colleges
With knowledge and scholarships, when Ra be droppin' this
Some of the things I know, will be in your next Bible
When I die go bury me and my notebook in Cairo
With the great God from Egypt manifest was write rhymes
Align with the stars, I come back to bless the mic
""Once again, back it's the incredible""
Word up, Rakim Allah the Microphone Fiend is back, ya know what I mean?
""Rakim Allah""
Till death do us part
""Once again, back it's the incredible""
It's on
""Rakim Allah""
CD sample
Ra sample in sequence to 3:50
""Once again back it's the incredible
The incredible, the incredible
The incredible...
Once again back it's the incredible
Rhyme animal, the incredible..."""
9,Guess Who's Back,2008,"The Archive: Live, Lost & Found (2008)",,Rakim,"Once again back it's the incredible""
Yeah, yeah
It's the return of the Wild Style fashionist
Smashin hits, make it hard to adapt to this
Put pizazz and jazz in this, and cash in this
Mastered this, flash this and make 'em clap to this
DJ's throw on cuts and obey the crowd
Just pump the volume up, and play it loud
Hip-Hop's embedded, before I said I wouldn't let it
But me and the microphone is still magnetic
Straight off the top, I knew I'd be forced to rock
Dancefloors just stop, the spot's scorchin hot
Hoping I open Rakim Allah seminars
Massage at the bar smokin' ten dollar cigars
While I admire ?, with more vision than TV's
I find it easy catchin diabetes from fly sweeties
Sit back and wait to hear a slammin' track
Rockin' jams by popular demand, I'm back
I control the crowd, you know I hold it down
When it drop you know it's jiggy when you hear the sound
From town to town, until it's world renowned
And I rock New York City all year around
Check it out
It's on so you can swerve when it's heard in clubs
Thought patterns displayed on Persian rugs
Equations are drawn up in paisley form
Mic it stay warm, my flow is Evian
Deep as a Nautilus, you stay dipped in Ra style
From the shores of Long Island to Panama Canal
Intellect pitches new trends like a clothes designer
I'm in effect, quicker than medicines in China
Split the mic open fill it with somethin' potent to go in
And take a toke then, mental planes start floatin
Hot science is smokin' altitudes cause chokin
Product is hypnotic you're soakin and still smokin'
Showin better scenes than grams of amphetamines
Plans to scheme, means I'll forever fiend
Long as the mic is loud and the volume is pumpin
I'ma move crowds to 2000
Yo, my rhymes and lyrics, find spirits like a seance
Since fat Cray-ons, I write and display chaos
My plan is ?, the diagram know where the damage
I take advantage, until your crowd go bananas
What a rush I hear cuts and I lust to touch
Microphones get clutches by the illustrious
Word spread I inherited, many ways to say the unsaid
Born with three 7's in my head
In time no one can seem to blow your mind as far as this
To find you'll need philosophers and anthropologists
Astrologists, professors from your smartest colleges
With knowledge and scholarships, when Ra be droppin' this
Some of the things I know, will be in your next Bible
When I die go bury me and my notebook in Cairo
With the great God from Egypt manifest was write rhymes
Align with the stars, I come back to bless the mic
""Once again, back it's the incredible""
Word up, Rakim Allah the Microphone Fiend is back, ya know what I mean?
""Rakim Allah""
Till death do us part
""Once again, back it's the incredible""
It's on
""Rakim Allah""
CD sample
Ra sample in sequence to 3:50
""Once again back it's the incredible
The incredible, the incredible
The incredible...
Once again back it's the incredible
Rhyme animal, the incredible..."""
